symbol,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
AVPT,0.6977049180327869,0.4754098360655737,12.795,6.22665,0.6304190277068128,2170477.0,0.940983606557377,0.7311475409836066,0.3245901639344262,2712760064.0
SAIL,0.7,0.4229508196721311,16.85,6.3091483,0.6115521904912413,4214283.0,0.9475409836065574,0.7049180327868853,0.3967213114754098,9557032960.0
SPHR,0.7157377049180328,0.9737704918032788,157.415,3.8974319,0.5065019478349635,709249.0,0.7311475409836066,0.5540983606557377,0.8426229508196721,5634229760.0
PLTR,0.718032786885246,0.3901639344262295,137.55,3.7799985,0.670709456379699,46368559.0,0.7147540983606557,0.760655737704918,0.8131147540983606,329750282240.0
AXSM,0.7222950819672131,0.980327868852459,251.59,3.7056842,0.5104791347357727,919303.0,0.7016393442622951,0.5573770491803278,0.918032786885246,12946762752.0
RLAY,0.7244262295081967,0.4393442622950819,19.8,4.7581263,0.8241930940941946,4214277.0,0.8524590163934426,0.8885245901639345,0.3557377049180328,4315218432.0
ACN,0.7252459016393442,0.6721311475409836,143.02,4.4246473,0.5215362829046147,7829183.0,0.8131147540983606,0.5836065573770491,0.8459016393442623,87519961088.0
CLDX,0.7308196721311475,0.8098360655737705,39.56,4.2390747,0.6559214004582036,953288.0,0.7901639344262295,0.7508196721311475,0.5524590163934426,3105146368.0
PHVS,0.7324590163934426,0.9114754098360656,34.335,3.3579214,1.2083323120164065,367173.0,0.6098360655737705,0.9639344262295082,0.4524590163934426,2399320320.0
IMVT,0.7327868852459015,0.6918032786885245,40.72,5.492235,0.5596456986893942,1941850.0,0.8950819672131147,0.639344262295082,0.6327868852459017,8360179200.0
RNG,0.7342622950819672,0.7180327868852459,41.925,6.842501,0.4954767936812496,1717808.0,0.960655737704918,0.5442622950819672,0.6786885245901639,3515772160.0
HUBS,0.741311475409836,0.918032786885246,205.09,5.8037558,0.4407532004221752,1971693.0,0.918032786885246,0.4,0.940983606557377,10498702336.0
DYN,0.741639344262295,0.6131147540983607,23.88,4.5534105,0.8011811131242202,1829122.0,0.8327868852459016,0.8721311475409836,0.4180327868852459,3947693312.0
PAYP,0.7432786885245901,0.6327868852459017,15.86,4.548448,1.0370533412828984,1115365.0,0.8295081967213115,0.940983606557377,0.3016393442622951,10739489792.0
NIQ,0.7434426229508196,0.5049180327868853,10.715,9.114058,0.6945705270696656,1480070.0,0.9836065573770492,0.7967213114754098,0.3491803278688524,3162386176.0
XENE,0.7470491803278688,0.839344262295082,63.23,4.4433413,0.599988451455694,1298865.0,0.8163934426229508,0.6885245901639344,0.6819672131147541,6112162816.0
IBM,0.7491803278688525,0.7836065573770492,311.595,4.0324645,0.5586944587920223,8938791.0,0.7475409836065574,0.6295081967213115,0.9442622950819672,292863574016.0
ELVN,0.7508196721311475,0.8,51.765,3.5093005,0.963158583768919,1352011.0,0.6655737704918033,0.921311475409836,0.5770491803278689,3698002432.0
DDOG,0.7509836065573771,0.8229508196721311,268.35,5.0858126,0.4746649923357934,5889716.0,0.8786885245901639,0.4885245901639344,0.9508196721311476,95521923072.0
GLUE,0.7580327868852458,0.7016393442622951,24.62,5.892477,0.6678736395678299,1111044.0,0.921311475409836,0.7573770491803279,0.5016393442622951,2079883264.0
KYMR,0.7601639344262294,0.9639344262295082,120.25,4.7838945,0.5150214037888711,774162.0,0.8590163934426229,0.5672131147540984,0.8229508196721311,9891474432.0
IONS,0.7621311475409837,0.8327868852459016,86.05,3.450352,0.8531162912992928,1848367.0,0.6426229508196721,0.9016393442622952,0.6918032786885245,14220844032.0
ARQT,0.769016393442623,0.6459016393442623,27.28,4.641354,0.8442474143675359,1721339.0,0.8426229508196721,0.898360655737705,0.4754098360655737,3412274688.0
AXON,0.7929508196721311,0.9901639344262296,643.155,3.3678908,0.7028002050284199,1225196.0,0.6196721311475409,0.8065573770491803,0.9737704918032788,51839631360.0
NTNX,0.7960655737704917,0.6196721311475409,55.415,5.713474,0.6862571281870778,3994529.0,0.9114754098360656,0.7868852459016393,0.6983606557377049,14979811328.0
APPF,0.7960655737704918,0.9868852459016394,182.28,3.5328872,0.7330131424066695,370404.0,0.6721311475409836,0.8295081967213115,0.8590163934426229,6445153280.0
NAVN,0.7963934426229509,0.4918032786885246,27.71,5.361216,1.1429407138531549,4080363.0,0.8852459016393442,0.9573770491803278,0.5114754098360655,7047519232.0
VRDN,0.8049180327868852,0.5278688524590164,20.57,8.3201685,0.7890597990840609,2600391.0,0.9737704918032788,0.8622950819672132,0.5475409836065573,2271497216.0
CBOE,0.8062295081967213,0.9672131147540984,258.25,5.3737545,0.5339479849676182,1390598.0,0.8885245901639345,0.5934426229508196,0.9540983606557376,27026839552.0
NKTR,0.8111475409836065,0.8754098360655738,76.25,4.2378654,0.8172188276930036,1153981.0,0.7868852459016393,0.8786885245901639,0.7032786885245902,2576184832.0
FIG,0.8177049180327869,0.2819672131147541,23.145,9.796018,0.908433295562329,20061244.0,0.9868852459016394,0.9147540983606556,0.6196721311475409,12229275648.0
CELC,0.8247540983606556,0.9016393442622952,115.4275,6.3064065,0.569855114218588,1346716.0,0.9442622950819672,0.6524590163934426,0.8786885245901639,5628970496.0
RARE,0.8304918032786885,0.6491803278688525,35.61,5.667655,1.0194317171225808,2129714.0,0.9081967213114754,0.9344262295081968,0.6032786885245902,3507201280.0
PTGX,0.8396721311475408,0.9704918032786886,137.675,4.69582,0.6832414435779591,693222.0,0.8491803278688524,0.7836065573770492,0.8557377049180328,8854068224.0
TARS,0.8396721311475408,0.9081967213114754,70.285,4.8247585,0.7821237571999614,767018.0,0.8655737704918033,0.8590163934426229,0.7262295081967213,3023939072.0
ORKA,0.8400000000000001,0.8360655737704918,87.31,5.0282693,0.7382450236151213,1830395.0,0.8754098360655738,0.8360655737704918,0.7868852459016393,5265849344.0
VKTX,0.8478688524590164,0.6622950819672131,41.111,6.202534,0.995680554463406,2378083.0,0.9344262295081968,0.9278688524590164,0.6491803278688525,4773218816.0
TTAN,0.8554098360655737,0.8524590163934426,81.4151,4.6601095,0.9327928086718956,1531845.0,0.8459016393442623,0.918032786885246,0.7639344262295082,7766802944.0
ADBE,0.8559016393442623,0.7868852459016393,228.05,4.57651,0.7608098665779014,6455977.0,0.839344262295082,0.8491803278688524,0.9311475409836064,90649878528.0
TRVI,0.8644262295081968,0.5639344262295082,19.71,9.805004,2.0626516383463485,1839904.0,0.9901639344262296,0.9868852459016394,0.580327868852459,2798419968.0
BEAM,0.8645901639344263,0.659016393442623,37.635,6.554356,1.1577718562025885,2209247.0,0.9540983606557376,0.960655737704918,0.6426229508196721,3871859200.0
BAND,0.8714754098360655,0.8557377049180328,67.85,11.834515,0.6482247366992377,1248857.0,0.9934426229508196,0.7442622950819672,0.8885245901639345,2172374272.0
ALMS,0.8742622950819672,0.7081967213114754,29.38,7.737436,1.4817732422087366,1269178.0,0.9639344262295082,0.9737704918032788,0.6262295081967213,3745714432.0
RAPP,0.8877049180327867,0.9278688524590164,42.02,8.9447775,0.792586538892123,357296.0,0.980327868852459,0.8655737704918033,0.7442622950819672,2009687552.0
MAAS,0.8954098360655738,0.8819672131147541,17.54,14.565646,1.0924133757771783,234663.0,0.99672131147541,0.9442622950819672,0.639344262295082,7755760128.0
VERA,0.9008196721311474,0.7573770491803279,43.305,7.911785,2.018567259340354,1410332.0,0.9672131147540984,0.9836065573770492,0.7114754098360656,3108558592.0
DOCN,0.9045901639344262,0.7737704918032787,142.48,8.45703,0.7617046968050091,4180544.0,0.9770491803278688,0.8524590163934426,0.9344262295081968,14869808128.0
NET,0.9045901639344264,0.8622950819672132,268.06,8.2851925,0.7081831963716945,4428734.0,0.9704918032786886,0.8131147540983606,0.9704918032786886,95145099264.0
