symbol,date,HotScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,marketCap
KSS,2025-11-26 20:46:27,0.8532552083333332,24.3971,8.818467,2.537685704903994,6160917.0,2734297344.0
LITE,2025-11-26 20:46:27,0.8697916666666666,311.96,7.103376,0.8271808445481551,4269573.0,22121891840.0
MESO,2025-11-26 20:46:27,0.8509114583333333,17.39,8.281445,1.5769988151805507,242231.0,2238888448.0
MODG,2025-11-26 20:46:27,0.812890625,12.8483,9.908473,1.4039661812047066,2472353.0,2362592000.0
NBIX,2025-11-26 20:46:27,0.8891927083333333,151.895,5.828054,1.3240341365696335,941981.0,15144797184.0
ODD,2025-11-26 20:46:27,0.8686197916666667,43.96,6.466452,1.6519092984804349,762060.0,2525012736.0
OLMA,2025-11-26 20:46:27,0.821875,28.09,7.7483716,1.1252298312733555,3238789.0,2251692288.0
ORCL,2025-11-26 20:46:27,0.7786458333333333,206.59,4.8520517,0.8423386734705258,26449695.0,588945227776.0
OSCR,2025-11-26 20:46:27,0.7623697916666667,18.175,8.637177,1.0116327231305218,17417160.0,5233621504.0
PAAS,2025-11-26 20:46:27,0.8123697916666667,42.3802,7.318809,0.9865896246791956,6470065.0,17886437376.0
PKX,2025-11-26 20:46:27,0.8192708333333333,54.78,4.862169,1.1369105962336552,143853.0,16570023936.0
PTCT,2025-11-26 20:46:27,0.7610677083333333,85.85,3.5210397,2.0966704580948035,1277443.0,6892750848.0
RCUS,2025-11-26 20:46:27,0.7819010416666667,25.86,6.508164,0.9549004385350994,1385978.0,3199620096.0
SYM,2025-11-26 20:46:27,0.9572916666666668,87.51,13.222928,2.340527438620952,2168859.0,51875262464.0
TER,2025-11-26 20:46:27,0.8104166666666668,180.58,7.6996503,0.6919768081850717,3768226.0,28725499904.0
TEVA,2025-11-26 20:46:27,0.734375,26.235,4.981996,1.3175467037208584,11010900.0,30098958336.0
TSEM,2025-11-26 20:46:27,0.8842447916666666,103.95,6.072507,1.4563041970666957,1395832.0,11655268352.0
UNF,2025-11-26 20:46:27,0.8294270833333333,173.775,4.0444193,1.372782292680135,139784.0,3142166784.0
URBN,2025-11-26 20:46:27,0.9584635416666666,77.07,12.823895,4.050246176284144,2098090.0,6913017856.0
VERA,2025-11-26 20:46:27,0.909375,33.48,13.761466,1.6990104269145176,1539957.0,2140311552.0
WSC,2025-11-26 20:46:27,0.7748697916666667,20.295,5.373831,1.9989328489916207,2918050.0,3695213824.0
