symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
UTHR,587.83,12.432339,1373835.0,447460.0,25763229696.0,3.070296786304921,1.0,0.9859154929577464,1.0,1.0,0.9950704225352112,0.993666163648558,0.9982418162311363
INSM,153.5,5.643494,3729969.0,2490665.0,33087217664.0,1.497579562084825,0.9753521126760564,0.9295774647887324,0.9154929577464788,0.9366197183098592,0.9434859154929576,0.9398977196512406,0.9736517802527449
CLMT,34.95,9.014346,3781399.0,1399066.0,3032840448.0,2.702802441057105,0.98943661971831,0.9823943661971832,0.7816901408450704,0.8873239436619719,0.9352112676056338,0.9286175385647216,0.9711559269897749
CENX,52.63,6.0020127,3645220.0,2413240.0,5209004032.0,1.5105086937063863,0.9788732394366196,0.9330985915492958,0.7922535211267606,0.8767605633802817,0.9153169014084508,0.9015076570534316,0.9653174230085508
GRDN,37.06,8.489466,460980.0,340795.0,2384463872.0,1.352660690444402,0.9859154929577464,0.9119718309859156,0.7887323943661971,0.954225352112676,0.9174295774647888,0.9065322490498546,0.964725235920763
FDS,204.63,3.1765256,918383.0,952785.0,7657241600.0,0.9638932183021354,0.8873239436619719,0.8028169014084507,0.8802816901408451,0.9683098591549296,0.8644366197183099,0.8154524368432818,0.9622532822633407
AA,62.455,6.925187,11071607.0,7633285.0,16479538176.0,1.4504380486251989,0.9823943661971832,0.9225352112676056,0.8345070422535211,0.7429577464788732,0.9079225352112676,0.9048541247484908,0.9556567953038856
BR,162.62,3.3032632,1640270.0,1417980.0,18985674752.0,1.1567652576199947,0.908450704225352,0.8697183098591549,0.8644366197183099,0.9612676056338028,0.8913732394366197,0.8745556673373575,0.9553015434603653
AGRO,15.33,9.110318,3039855.0,1154350.0,2185702144.0,2.6333910858924936,0.9929577464788732,0.9788732394366196,0.6338028169014085,0.8204225352112676,0.898943661971831,0.8942138944779789,0.9521164820716678
DOO,69.05,4.22642,258126.0,202521.0,5076214272.0,1.2745641192765196,0.9507042253521126,0.9049295774647887,0.7640845070422535,0.9823943661971832,0.9005281690140845,0.9005281690140845,0.9502640845070423
