symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
URBN,76.665,12.231011,1895869.0,2098090.0,6876690432.0,0.9036166227378234,1.0,1.0,0.9156626506024096,0.7831325301204819,0.96144578313253,0.926689664641472,0.9994757275032585
HOOD,124.75,7.943238,6390708.0,35537503.0,112173809664.0,0.1798299672320815,0.927710843373494,0.8192771084337349,0.9397590361445785,0.3734939759036144,0.8367469879518072,0.7205553396381225,0.9989999510444465
ADSK,315.92,7.301584,688248.0,1483401.0,67589361664.0,0.4639662505283466,0.9156626506024096,0.9879518072289156,0.9879518072289156,0.9518072289156626,0.9590361445783132,0.9590361445783132,0.9795180722891565
MESO,17.7,10.218077,76245.0,242231.0,2278799872.0,0.3147615292840305,0.9879518072289156,0.9518072289156626,0.5903614457831325,0.8433734939759037,0.8813253012048192,0.8813253012048192,0.9406626506024096
CRWV,74.9192,5.093551,4719990.0,30647675.0,37333549056.0,0.1540080935992697,0.8433734939759037,0.7349397590361446,0.7831325301204819,0.3253012048192771,0.741566265060241,0.6562353275852537,0.9357986337444327
BLLN,134.99,3.918408,51986.0,295307.0,6128956928.0,0.176040527315641,0.6265060240963856,0.8072289156626506,0.891566265060241,0.9759036144578314,0.777710843373494,0.7197928404264541,0.9290878328015376
ARWR,50.59,8.13356,420042.0,2311350.0,6994449408.0,0.1817301577000454,0.9397590361445785,0.8313253012048193,0.8072289156626506,0.6987951807228916,0.8512048192771084,0.8512048192771084,0.9256024096385542
NBIX,150.85,5.099984,143651.0,941981.0,15040605184.0,0.1524988295942274,0.8554216867469879,0.7228915662650602,0.9036144578313252,0.9156626506024096,0.8246987951807228,0.8246987951807228,0.9123493975903614
ORCL,206.125,4.639947,5565156.0,26449695.0,587619631104.0,0.2104052995696169,0.7590361445783133,0.8554216867469879,0.927710843373494,0.5421686746987951,0.8048192771084337,0.7900989538089663,0.9117251320303837
FLNC,18.46,10.077511,1827679.0,7608900.0,3371969024.0,0.2402027888393854,0.9759036144578314,0.891566265060241,0.6265060240963856,0.3132530120481928,0.8102409638554215,0.8066183228210647,0.9073660551634433
