symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
MASI,174.52,34.091442,6564766.0,751585.0,9374158848.0,8.734562291690228,1.0,0.991869918699187,0.991869918699187,0.959349593495935,0.9914634146341462,0.9860650406504065,0.9984690389134652
ENLT,72.5884,11.93235,132149.0,67040.0,9932464128.0,1.9711963007159905,0.959349593495935,0.975609756097561,0.8699186991869918,0.991869918699187,0.9504065040650408,0.9382032520325204,0.9817067745933745
ITRI,101.105,13.143467,645840.0,622211.0,4630747648.0,1.0379758634932523,0.967479674796748,0.926829268292683,0.943089430894309,0.91869918699187,0.9434959349593496,0.9284146341463414,0.9798700393742412
IRON,61.205,9.392317,1239235.0,648651.0,2310498560.0,1.9104803661753396,0.934959349593496,0.967479674796748,0.7967479674796748,0.902439024390244,0.9154471544715448,0.8827235772357724,0.9762591517234537
SON,56.97,10.257409,610832.0,943660.0,5619123200.0,0.6473009346586694,0.951219512195122,0.8699186991869918,0.8048780487804879,0.8617886178861789,0.8845528455284553,0.8339430894308943,0.9726200737513102
ZIM,28.9,30.180174,23325255.0,4201090.0,3481222144.0,5.552191217041291,0.991869918699187,0.983739837398374,0.8536585365853658,0.6585365853658537,0.9280487804878048,0.917691056910569,0.9696677511000632
KNF,91.795,13.649872,254657.0,517536.0,5201486848.0,0.4920565912323007,0.975609756097561,0.7723577235772358,0.934959349593496,0.926829268292683,0.8914634146341464,0.8543983739837397,0.9674224324981069
ETOR,31.78,15.73198,1658623.0,1343800.0,2660112896.0,1.2342781663938085,0.983739837398374,0.951219512195122,0.7723577235772358,0.7886178861788617,0.910569105691057,0.9032845528455286,0.9593168109100446
NESR,22.81,9.505519,1594177.0,1069965.0,2298740736.0,1.4899337828807484,0.943089430894309,0.959349593495935,0.6097560975609756,0.7723577235772358,0.865040650406504,0.824520325203252,0.9570923848388124
WING,232.425,4.8612723,240386.0,704730.0,6490178560.0,0.3411036850992578,0.8211382113821138,0.5609756097560976,0.9105691056910568,0.967479674796748,0.7626016260162602,0.6786341463414635,0.9431658695540378
