symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
UTHR,588.36,12.533705,1665765.0,447460.0,25786458112.0,3.722712644705672,1.0,0.9839743589743588,1.0,0.9935897435897436,0.9937499999999998,0.9937499999999998,0.996875
INSM,153.32,5.5196176,4828102.0,2490665.0,33048420352.0,1.938479080888036,0.9615384615384616,0.9455128205128204,0.9326923076923076,0.903846153846154,0.9443910256410256,0.9443910256410256,0.9721955128205129
GRDN,37.25,9.04567,747898.0,340795.0,2396688640.0,2.1945685822855383,0.9903846153846154,0.9615384615384616,0.7852564102564102,0.9326923076923076,0.9334935897435896,0.9334935897435896,0.9667467948717948
CLMT,35.04,9.295071,4523509.0,1399066.0,3040650496.0,3.233234886702986,0.9935897435897436,0.9807692307692308,0.782051282051282,0.8493589743589743,0.9323717948717948,0.9323717948717948,0.9661858974358974
CENX,53.25,7.2507524,4628501.0,2413240.0,5270368256.0,1.917961329996188,0.9807692307692308,0.939102564102564,0.8205128205128205,0.8365384615384616,0.9197115384615384,0.9197115384615384,0.9598557692307692
AA,63.22,8.23489,12252876.0,7633285.0,16681393152.0,1.6051904258782426,0.9839743589743588,0.9006410256410257,0.8525641025641025,0.7115384615384616,0.9012820512820512,0.9012820512820512,0.9506410256410256
BR,163.44,3.82417,1951397.0,1417980.0,19081410560.0,1.3761809052313856,0.9230769230769232,0.8557692307692307,0.8878205128205128,0.939102564102564,0.8940705128205129,0.8940705128205129,0.9470352564102564
AGRO,15.25,8.54092,3322291.0,1154350.0,2174296064.0,2.8780621128773767,0.9871794871794872,0.9775641025641024,0.6346153846153846,0.7852564102564102,0.8931089743589742,0.8931089743589742,0.9465544871794871
BBWI,18.67,11.131,12122144.0,5329821.0,3822152192.0,2.274399834440969,0.9967948717948718,0.9647435897435898,0.6987179487179487,0.5192307692307693,0.8782051282051282,0.8782051282051282,0.9391025641025641
CWST,78.38,4.5484805,983037.0,761601.0,4978287104.0,1.2907506686572103,0.9487179487179488,0.8141025641025641,0.8076923076923077,0.9262820512820512,0.8711538461538462,0.8711538461538462,0.9355769230769231
