symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore_today,HotScore_avg,RuntimeScore
SAP,172.415,7.7593703,2928557.0,3156645.0,203265605632.0,0.9277435378384328,0.9389920424403184,0.9628647214854112,0.9363395225464192,0.7877984084880637,0.9316976127320954,0.9316976127320954,0.9658488063660478
RNG,53.6355,11.023599,2211847.0,1898081.0,4497798656.0,1.16530696002963,0.9973474801061007,0.9893899204244032,0.7851458885941645,0.6737400530503979,0.919761273209549,0.919761273209549,0.9598806366047745
ISRG,359.02,6.376671,2589062.0,2891408.0,128628981760.0,0.8954329516968895,0.8488063660477454,0.9549071618037136,0.9761273209549072,0.8753315649867374,0.9140583554376656,0.9140583554376656,0.9570291777188328
MANH,162.78,7.325114,370105.0,648562.0,9630813184.0,0.570654771633244,0.9098143236074272,0.7851458885941645,0.920424403183024,0.946949602122016,0.8720159151193634,0.8720159151193634,0.9360079575596817
CHTR,132.05,7.087832,2146426.0,3541006.0,17797367808.0,0.6061627684336033,0.8992042440318302,0.8196286472148541,0.883289124668435,0.7347480106100795,0.8517241379310343,0.8517241379310343,0.9258620689655171
TRI,97.665,8.336105,1144180.0,2038583.0,42634567680.0,0.5612624062890743,0.9496021220159152,0.7771883289124668,0.8381962864721485,0.7718832891246684,0.8492042440318303,0.8492042440318303,0.9246021220159151
NOW,106.475,7.7900386,18437492.0,27355331.0,110080458752.0,0.6739999600077952,0.9416445623342176,0.870026525198939,0.8541114058355438,0.376657824933687,0.8425729442970822,0.8425729442970822,0.9212864721485411
PEGA,29.23,8.985831,1860920.0,2510849.0,4805556224.0,0.7411516980909645,0.9681697612732096,0.920424403183024,0.623342175066313,0.5490716180371353,0.8405835543766579,0.8405835543766579,0.920291777188329
RDDT,181.5,7.5683074,2612121.0,4993306.0,34940391424.0,0.5231245591598032,0.93368700265252,0.7188328912466844,0.9389920424403184,0.7320954907161804,0.8393899204244031,0.8393899204244031,0.9196949602122015
TSN,61.375,6.831432,2626843.0,3262386.0,21611941888.0,0.8051907407645815,0.8647214854111406,0.93368700265252,0.7188328912466844,0.6259946949602122,0.8358090185676392,0.8358090185676392,0.9179045092838196
