symbol,HotScore,regularMarketChangePercent,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore
MSGS,0.988568129330254,16.245152,5.017213913420047,0.9861431870669746,0.9884526558891455,0.9907621247113164,0.9930715935334872
WING,0.9748267898383371,10.9897585,3.5874651369386616,0.97459584295612,0.97459584295612,0.9884526558891455,0.9491916859122402
GRMN,0.960392609699769,10.070055,2.5266913814627063,0.9676674364896074,0.9515011547344112,0.97459584295612,0.9376443418013856
JLL,0.9366050808314088,9.493432,1.755913707676843,0.9607390300230948,0.8752886836027713,0.9838337182448036,0.9722863741339492
GPN,0.9364896073903002,16.509035,2.4468548779031183,0.9884526558891455,0.9468822170900691,0.9422632794457276,0.7066974595842956
GKOS,0.9362586605080832,14.076716,1.7952474459433585,0.979214780600462,0.8868360277136259,0.9630484988452656,0.9053117782909932
GLBE,0.9323325635103926,16.809765,5.130682083765704,0.9907621247113164,0.9907621247113164,0.8429561200923787,0.7020785219399538
CBRE,0.9277136258660508,7.5615916,2.369403133756832,0.930715935334873,0.9445727482678984,0.930715935334873,0.8521939953810623
MCO,0.924133949191686,6.483626,1.9195682485298975,0.8914549653579676,0.9122401847575058,0.9861431870669746,0.9561200923787528
KNTK,0.9120092378752886,8.869094,3.560900129318638,0.953810623556582,0.9722863741339492,0.8013856812933026,0.7759815242494227
SAH,0.9098152424942264,8.115991,1.9023616571718955,0.9422632794457276,0.907621247113164,0.8383371824480369,0.9468822170900691
CDNS,0.9077367205542726,7.648354,1.644846959905605,0.9330254041570438,0.8475750577367206,0.9722863741339492,0.9006928406466512
AMRZ,0.906812933025404,10.754753,2.1813804797816,0.9699769053117784,0.9399538106235564,0.8729792147806005,0.6374133949191686
CIGI,0.9026558891454964,5.7275095,2.266322253032796,0.8614318706697459,0.9422632794457276,0.8775981524249422,0.9584295612009238
LDOS,0.8980369515011547,6.227944,1.8343906676048904,0.8822170900692841,0.8937644341801386,0.9214780600461894,0.9214780600461894
ICLR,0.8971131639722862,9.016021,1.7022408553544557,0.9561200923787528,0.8614318706697459,0.9030023094688222,0.8036951501154734
EMAT,0.8931870669745958,24.32004,2.007968781512802,0.9976905311778292,0.9214780600461894,0.7020785219399538,0.8106235565819861
DASH,0.891108545034642,7.0068994,1.7766482161834585,0.9122401847575058,0.8822170900692841,0.9376443418013856,0.7551963048498845
PODD,0.8871824480369515,4.7211194,2.122179327666601,0.789838337182448,0.9353348729792148,0.9445727482678984,0.9445727482678984
CSTM,0.8826789838337181,10.828705,2.865601171383014,0.9722863741339492,0.9584295612009238,0.7066974595842956,0.6558891454965358
KRMN,0.8810623556581986,7.792725,1.684848583180724,0.9376443418013856,0.859122401847575,0.8683602771362586,0.7852193995381063
W,0.8794457274826789,6.9811063,1.8354335067439675,0.9099307159353348,0.8960739030023095,0.8706697459584296,0.7321016166281755
LASR,0.8719399538106235,6.671253,1.9356541303903168,0.8983833718244804,0.9145496535796768,0.7806004618937644,0.812933025404157
LBTYK,0.8712471131639723,14.789692,5.175321582799036,0.9815242494226328,0.9930715935334872,0.5842956120092379,0.6327944572748267
HYMC,0.8695150115473441,21.220243,1.416382370379835,0.9953810623556582,0.8198614318706697,0.8960739030023095,0.5496535796766744
LBTYA,0.8627020785219399,16.84588,4.641915643578655,0.9930715935334872,0.9861431870669746,0.6212471131639723,0.4572748267898383
SHOP,0.8575057736720555,7.090008,1.6306354679224917,0.9191685912240184,0.8452655889145496,0.9053117782909932,0.5889145496535797
CZR,0.847690531177829,13.139839,2.165689560517765,0.976905311778291,0.9376443418013856,0.6997690531177829,0.3764434180138568
MEDP,0.8415704387990763,4.2096767,1.5839840372464251,0.7274826789838337,0.8429561200923787,0.9653579676674364,0.9884526558891455
OVV,0.830715935334873,6.2933974,1.815168328235217,0.8891454965357968,0.8891454965357968,0.7413394919168591,0.6004618937644342
IBRX,0.8300230946882217,41.777405,2.739795963846801,1.0,0.953810623556582,0.7043879907621247,0.0531177829099307
MCW,0.8282909930715935,16.22296,33.828388618569775,0.9838337182448036,1.0,0.4341801385681293,0.4711316397228637
RSI,0.8213625866050808,7.231407,2.98667055122048,0.9237875288683602,0.9630484988452656,0.5173210161662818,0.5750577367205543
SM,0.8143187066974595,8.417891,1.9143141694080197,0.9468822170900691,0.9099307159353348,0.6073903002309469,0.4295612009237875
CWK,0.814203233256351,9.813463,2.072909566868729,0.9630484988452656,0.928406466512702,0.5150115473441108,0.4919168591224018
APPF,0.8075057736720553,4.775172,1.1504547338801865,0.7944572748267898,0.7182448036951501,0.907621247113164,0.9653579676674364
ITRI,0.8069284064665126,3.702167,2.5223454892016384,0.6443418013856813,0.9491916859122402,0.792147806004619,0.907621247113164
VRSK,0.8038106235565821,3.8246734,1.726993754200198,0.6674364896073903,0.8683602771362586,0.8937644341801386,0.8752886836027713
TEM,0.803810623556582,6.868335,1.2655901099578026,0.9053117782909932,0.76905311778291,0.7967667436489607,0.5842956120092379
CHRW,0.8005773672055427,4.7806945,1.167773954839136,0.7967667436489607,0.7251732101616628,0.9122401847575058,0.8545034642032333
BLKB,0.7988452655889144,4.8162203,1.6478155774170051,0.7990762124711316,0.8498845265588915,0.6651270207852193,0.8868360277136259
BFAM,0.7973441108545034,4.3273396,1.7232653643789049,0.7390300230946882,0.8660508083140878,0.7482678983833718,0.859122401847575
APP,0.794688221709007,7.083268,0.9208313510719196,0.9168591224018476,0.5565819861431871,0.9815242494226328,0.8267898383371824
