symbol,Appearances,AvgHotScore
ALMR,2,0.9637458745874588
SEPN,2,0.9386462419826889
SEZL,2,0.933387508562177
IMOS,2,0.9332340120804533
NIQ,2,0.9201133320879257
MELI,2,0.9036985491001931
CIB,2,0.8986920107105051
ZLAB,2,0.8948004234385702
AXON,2,0.88119154368267
NN,2,0.8807948813749298
ARMK,2,0.8802163895634847
AEHR,2,0.8660243477177907
PLSE,2,0.8656267513543807
BLTE,2,0.8619213525126098
KKR,2,0.8558229030450215
BVC,2,0.8496690329410299
SII,2,0.8492468397783175
APO,2,0.8410638894078086
LB,2,0.8400189924652843
RNW,2,0.8310769661871849
BSP,2,0.8137841708699172
FRMI,2,0.8070748489943333
FRPT,2,0.806516595055732
ONTO,2,0.8017532224920605
BX,2,0.781576374618594
CRCL,2,0.7787103804720095
STEP,2,0.775086244473504
VSEC,2,0.7584074350831309
MPC,2,0.7573304688959461
TPL,2,0.755542997695996
ACHR,2,0.7548919608942026
MDB,2,0.7405352138987483
LEGN,2,0.7371100317578927
CIFR,2,0.7302577993648421
EA,2,0.7283196338501774
BAM,2,0.7241213649666853
PLPC,2,0.7231303319011146
PBF,2,0.7209645681549287
BIPC,2,0.717619092097889
NBIS,2,0.7168783859518026
ARES,2,0.7117525997882808
BEP,1,0.7633663366336634
AA,1,0.7584158415841584
HUT,1,0.7535849056603773
RIOT,1,0.7433993399339934
BETA,1,0.7320132013201319
OKLO,1,0.7275577557755776
VIA,1,0.7264026402640263
RAL,1,0.7254716981132074
ABCL,1,0.7224528301886793
RAPP,1,0.72188679245283
TTAN,1,0.7152830188679246
GEO,1,0.7147169811320755
SHAZ,1,0.7135313531353136
BEPC,1,0.7112211221122111
JBL,1,0.7080858085808581
EROC,1,0.7054716981132075
OUST,1,0.7011320754716981
FLUT,1,0.6926415094339623
