symbol,regularMarketPrice,HotScore,VolumeSpike,regularMarketChangePercent,date
DY,325.29,0.9734375,2.8360993150775884,9.82107,20251119
EXAS,86.18,0.969375,7.512111705989908,23.679678,20251119
TMDX,133.47,0.93375,1.7514678066483345,14.008715,20251119
AMTM,25.52,0.923125,6.408890943902125,17.1179,20251119
LITE,268.92,0.92125,1.6155356173480917,8.685293,20251119
HNGE,44.1,0.916875,4.241201337078123,8.56721,20251119
IDXX,697.1,0.9125,2.194860799721382,4.0121684,20251119
MOD,141.51,0.9120312500000001,1.5761089224564848,8.37864,20251119
PACS,16.83,0.90578125,4.206390295992663,16.632,20251119
BRBR,29.26,0.9010937499999999,2.8835693640998157,11.4242,20251119
XYZ,62.0,0.900625,2.8119260580799943,7.56419,20251119
LOW,228.41,0.89625,2.514961470290221,4.02605,20251119
GPCR,36.51,0.8878124999999999,3.0908598875660753,5.826082,20251119
SQM,63.1,0.8875,2.1238288108859633,6.22895,20251119
GEV,595.37,0.88296875,1.2278675167864035,7.28741,20251119
PODD,346.36,0.8698437499999999,1.6275688628110718,3.8654103,20251119
NUVB,7.15,0.86875,7.649201869902919,48.9583,20251119
CEG,357.48,0.8682812499999999,1.2605407561593533,5.342568,20251119
VIK,61.21,0.8571874999999999,1.847777184254422,5.04548,20251119
FROG,60.86,0.8503125,1.723067193316645,4.7684636,20251119
GFF,69.25,0.84953125,2.4902327441638543,3.57463,20251119
EAT,127.94,0.8484375,1.361989997332974,4.69722,20251119
GH,99.55,0.8451562499999998,1.785068345887961,4.16449,20251119
LB,64.64,0.83984375,1.5576376671151295,4.24125,20251119
KYIV,12.19,0.8335937500000001,1.7124590080244184,8.74219,20251119
CAMT,100.04,0.83265625,1.1519214085423477,5.57197,20251119
MPWR,884.65,0.8325,1.3953718962098147,3.2311895,20251119
MP,63.55,0.831875,1.346002988426219,8.61391,20251119
ADPT,15.15,0.8315624999999999,1.4957369947644092,10.181815,20251119
VEON,52.02,0.8303125,1.3876696539881919,4.7101455,20251119
GKOS,96.49,0.8303124999999999,1.201087223047278,5.29245,20251119
SITM,270.3,0.8256249999999999,1.0316978683612907,5.796697,20251119
FTAI,164.99,0.8153125,1.0453797223972199,5.715383,20251119
GOOGL,292.81,0.8078124999999999,1.930474333643439,3.0005624,20251119
VSEC,169.39,0.80671875,1.1713017810091726,3.875631,20251119
GOOG,292.99,0.8034375,1.8963126236932506,2.817939,20251119
LNW,86.22,0.8015625000000001,20.05076103363307,0.0,20251119
AMBA,87.44,0.79421875,1.07450479073061,5.235295,20251119
GRAL,87.97,0.78671875,0.9636565053114676,7.9916553,20251119
CLS,312.48,0.78640625,1.0257374040928788,4.18778,20251119
SHOP,146.0,0.7832812499999999,1.156966948963408,3.9515865,20251119
ASML,1039.33,0.783125,1.034764490064259,3.5127342,20251119
UPWK,18.16,0.7817187499999999,1.345832117200287,6.323185,20251119
AMAT,235.13,0.7806250000000001,1.0272391605471969,4.4465218,20251119
COGT,34.94,0.77234375,1.238744041133083,4.6107693,20251119
LEU,264.27,0.77234375,0.8760462633083034,7.3919,20251119
U,39.22,0.7693749999999999,1.1667077306797697,6.0,20251119
KLAC,1167.46,0.7659374999999999,0.9434919508537755,3.9507072,20251119
IESC,369.77,0.75984375,1.05835696297912,3.2069862,20251119
AS,34.76,0.7575000000000001,1.2702153615495935,4.19664,20251119
