symbol,regularMarketPrice,HotScore,VolumeSpike,regularMarketChangePercent,date
EXAS,100.67,0.9833333333333334,23.514588202570437,16.8136,20251121
ABVX,122.9,0.9694756554307115,4.1301955583178875,8.80921,20251121
PACS,26.14,0.9687265917602996,10.588335232537258,55.3179,20251121
REGN,737.0,0.9365168539325843,2.1298924530066397,5.0052,20251121
KLIC,39.03,0.9359550561797753,3.183071401789062,10.5979,20251121
JOYY,63.7,0.9342696629213484,3.4405855504339686,6.26408,20251121
MENS,32.8,0.9329588014981274,3.035883827723165,12.4443,20251121
ODD,39.57,0.9265917602996254,3.8867731096193534,6.48547,20251121
NTRA,225.55,0.9211610486891385,2.538678717737359,3.29746,20251121
WMT,107.11,0.9189138576779027,3.140933822516663,6.46059,20251121
MMS,82.06,0.9177902621722847,2.6039868316744474,5.52983,20251121
POWL,294.35,0.9059925093632959,2.0971134621792737,3.17571,20251121
GEHC,74.75,0.8792134831460674,2.387537106106945,3.37436,20251121
TBBB,31.58,0.8662921348314606,3.020571349342596,3.54098,20251121
LEN,116.25,0.8653558052434458,4.744268451315103,0.946506,20251121
ADPT,16.32,0.8421348314606741,2.082524747831037,7.72277,20251121
TJX,148.07,0.8260299625468165,1.6314954422692178,1.54997,20251121
NJR,48.04,0.8226591760299625,1.5288585153442078,4.09534,20251121
WSC,15.85,0.8204119850187267,2.1524667524982153,5.80775,20251121
AXTA,28.71,0.8176029962546816,2.337003036452155,3.27338,20251121
BRBR,29.8,0.8037453183520599,2.656655826375358,1.84552,20251121
RCUS,21.23,0.7779026217228464,1.4750060032994758,4.99506,20251121
MRP,29.24,0.7694756554307116,5.080555684216795,0.412084,20251121
MTSR,70.5,0.7644194756554307,8.478191349902579,-0.353357,20251121
GOOGL,289.45,0.749625468164794,1.7436373002876442,-1.1475,20251121
TXG,16.46,0.7494382022471909,1.3638283676691896,5.17572,20251121
GOOG,289.98,0.7333333333333334,1.5039026050713573,-1.02733,20251121
AL,63.73,0.7269662921348314,3.0730873889685837,-0.109717,20251121
ABT,123.97,0.7220973782771536,1.777295118881241,-1.7281,20251121
ALAB,139.29,0.7211610486891384,1.710289713297215,-1.91536,20251121
SHOP,144.56,0.7209737827715356,1.610746130491534,-0.986303,20251121
META,589.15,0.7144194756554306,1.284404576932837,-0.198195,20251121
PPL,35.54,0.7041198501872659,3.83690733439074,-0.0281247,20251121
XYZ,61.95,0.7014981273408238,2.6751765466439092,-0.0806439,20251121
KMPR,38.13,0.696067415730337,1.0167406128730867,3.98146,20251121
PSNYW,0.2325,0.6870786516853932,2.6983618050699874,16.25,20251121
MSFT,478.43,0.6825842696629214,1.1966423995212387,-1.60013,20251121
MSTR,177.13,0.6812734082397003,2.2066008172798526,-5.02413,20251121
OBDC,12.03,0.6777153558052434,2.109638740110706,0.501249,20251121
DASH,187.73,0.6765917602996254,3.502448140964368,-7.20906,20251121
BA,179.38,0.6683520599250936,1.5957733871610242,-3.40333,20251121
ABNB,111.54,0.6668539325842697,1.4934585219431067,-2.53408,20251121
SRAD,21.11,0.6662921348314608,3.2436844524010398,-2.71889,20251121
CWAN,20.75,0.6657303370786517,1.8398052061806835,0.289993,20251121
PANW,185.07,0.6627340823970037,3.012387871099685,-7.4187,20251121
EOSE,12.88,0.6621722846441946,1.9835204198600105,0.782476,20251121
DIS,102.7,0.6584269662921348,1.3573271314288875,-1.88211,20251121
VICI,28.8,0.655243445692884,1.8833270908497364,-1.20069,20251121
CRBG,27.76,0.6531835205992509,1.7545684722152857,-0.50179,20251121
SMPL,20.11,0.6529962546816479,1.0170746803434967,3.71326,20251121
