symbol,regularMarketPrice,HotScore,VolumeSpike,regularMarketChangePercent,date
EXAS,101.495,0.9563786008230453,13.972257225471777,17.770947,20251120
ABVX,123.034,0.9446502057613169,1.6158792507461397,8.927844,20251120
PACS,26.3,0.9388888888888888,6.129720804949872,56.268566,20251120
REGN,748.6625,0.9362139917695473,0.7033733232367954,6.66683,20251120
POWL,304.24,0.9333333333333333,0.744774849190258,6.6423573,20251120
JOYY,65.2,0.9304526748971194,2.0212977611279155,8.766365,20251120
KLIC,40.17,0.9162551440329219,0.9859757393819534,13.828272,20251120
GH,108.86,0.9148148148148147,0.7737036862493756,9.352081,20251120
ODD,40.58,0.9002057613168724,1.9411677117284052,9.203449,20251120
AGX,381.52,0.8987654320987654,0.5524148847572982,6.355929,20251120
DY,344.205,0.8884773662551441,0.5819406781727209,5.8148046,20251120
NTRA,229.23,0.8794238683127572,0.7572525260580867,4.982821,20251120
ALAB,156.59,0.8751028806584361,0.5370084659724961,10.266885,20251120
WMT,106.79,0.8668724279835391,1.45708122263698,6.1425304,20251120
CRDO,153.06,0.8454732510288065,0.483052157363246,7.8798933,20251120
GRAL,93.02,0.8452674897119341,0.6103795025368979,5.740588,20251120
IREN,50.97,0.8388888888888888,0.6668118203060593,11.21536,20251120
LMND,75.01,0.8257201646090534,0.638614108247099,5.737242,20251120
XYZ,65.455,0.8226337448559671,0.7879632564499508,5.5725837,20251120
HTFL,29.3,0.8072016460905349,0.5198993578615527,7.6019087,20251120
BRBR,31.055,0.8061728395061728,0.8449913553128354,6.134655,20251120
TBBB,32.0225,0.8026748971193415,1.0998599331932666,4.9918003,20251120
MOD,148.3575,0.7901234567901234,0.4586741155702939,4.8388834,20251120
HNGE,46.43,0.7890946502057612,0.6138935003746957,5.283451,20251120
ADPT,16.36,0.7872427983539095,0.6744049670279803,7.9868054,20251120
COHR,150.7,0.7866255144032921,0.40888821799307523,5.4288473,20251120
WULF,13.97,0.7792181069958848,0.6606878642028815,14.233136,20251120
SOLV,81.14,0.7788065843621399,0.49191742510884084,4.9540834,20251120
AXTA,29.29,0.7763374485596708,0.8720949140215076,5.3597183,20251120
CIFR,16.2,0.7761316872427984,0.6775680120647076,10.80712,20251120
STRL,352.7618,0.7722222222222221,0.31574417694201695,5.5635743,20251120
IESC,386.48,0.7662551440329218,0.3655271068452695,4.5117106,20251120
SYM,57.73,0.7555555555555555,0.36985751514398246,6.986658,20251120
AVGO,371.09,0.752880658436214,0.4010964326500549,4.703454,20251120
NUVL,111.59,0.7502057613168724,0.46905807165499197,4.1631656,20251120
CIEN,198.58,0.745679012345679,0.3369018056808367,5.1912293,20251120
SEDG,36.1001,0.7434156378600822,0.3950578979711358,7.8903246,20251120
GEV,614.35,0.7427983539094649,0.600902228479994,3.1879303,20251120
HUT,39.9,0.7343621399176954,0.4203010408732087,6.286629,20251120
BTDR,10.93,0.7339506172839506,0.678460864858001,7.472962,20251120
TSLA,421.2,0.7298353909465021,0.4332995566049312,4.2587996,20251120
EOSE,13.525,0.7230452674897119,0.9662538539445612,5.82942,20251120
SHOP,151.37,0.7133744855967079,0.5157432496840971,3.678079,20251120
GOOG,302.57,0.7061728395061728,0.605879974103421,3.2690325,20251120
GOOGL,302.1445,0.7034979423868313,0.6982228321520769,3.1879046,20251120
RCUS,21.255,0.6962962962962963,0.48677807786203725,5.118694,20251120
FIVE,154.18,0.6812757201646089,0.33903909304143864,3.9298863,20251120
MMS,80.11,0.6781893004115227,0.6780356543453964,3.0221174,20251120
DELL,123.92,0.6767489711934156,0.40426732506863017,3.802983,20251120
WSC,15.72,0.6744855967078189,0.5596588015773074,4.939925,20251120
