,price,ma50,avgvol,mean_ret_fwd_1d,appearances,appearances_persistent,avg_HotScore,mean_ret_fwd_5d,rule_score
JAZZ,174.8000030517578,135.8008010864258,1077094.65,2.7691262362723457,2.0,7,0.975117849334277,0,4
LNW,87.0,81.90900024414063,4060665.2,,2.0,8,0.8726007282819193,0,4
SNDK,238.52749633789062,155.42455078125,11922123.15,-10.262149526488585,3.0,8,0.8699500506999795,0,4
TERN,26.549999237060547,10.863799962997437,5104427.2,3.873238622079378,3.0,9,0.8880824701263376,0,4
AS,33.040000915527344,33.023799934387206,4967915.0,7.412225844214149,2.0,8,0.7544455331880631,0,3
GOOGL,280.25,259.07279998779296,33561872.85,-1.617425278667517,2.0,8,0.7878834923513978,0,3
MTSR,70.5,53.46820014953613,4779945.55,,,8,0.6992714960400481,0,3
DGNX,14.659600257873535,16.487391967773437,903172.4,7.7998488156052925,2.0,8,0.9175008434460316,0,2
QUBT,11.895000457763672,17.18669994354248,35243556.05,3.434786589249317,2.0,8,0.7599572656207674,0,1
TSLA,397.6434020996094,431.93146850585936,86797773.45,-2.7438131791722498,2.0,8,0.6724231141367901,0,1
