,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
PACS,31.780000686645508,14.11359992980957,15.601786920358004,105.53182115050951,,5.0,19.0,0.9378564131822057,6
EXAS,101.12999725341797,64.76240020751953,10.207703443599785,45.134897833670216,,4.0,20.0,0.9055471317858028,6
AS,36.599998474121094,32.859199867248535,2.656353605235961,13.454939790000875,,4.0,25.0,0.8201808639989572,6
GOOGL,323.44000244140625,265.17,2.286926217190599,12.774882255937094,,5.0,22.0,0.769338300717476,6
GOOG,323.6400146484375,265.76120025634765,2.23637650992327,12.541472578111325,,5.0,21.0,0.7768841081407503,6
TERN,29.344999313354492,12.891200008392333,2.582187834500102,8.627370024243053,,4.0,19.0,0.889542791980119,6
CWAN,22.1299991607666,18.589000034332276,1.1201062972398952,7.451998484175515,,4.0,19.0,0.7801975077361425,6
LNW,93.22000122070312,82.1568000793457,0.9241760623211775,6.1078578711029285,,4.0,25.0,0.8074969749756475,6
EAT,149.7100067138672,124.78980010986328,2.7849601055268347,19.184128183400162,,5.0,0.0,0.0,4
MRK,105.66000366210938,87.245,-0.7576276044978014,9.571713499660927,,3.0,0.0,0.0,4
ZIM,19.510000228881836,14.674999961853027,-0.765087450644214,7.886439707241266,,3.0,0.0,0.0,4
NBIS,88.87999725341797,110.11780075073243,-0.5736068763422449,2.525935980768118,,4.0,23.0,0.7831075877989923,4
HD,351.07000732421875,382.20459899902346,-0.5884483243221772,4.336066292652219,,2.0,0.0,0.0,2
ADI,252.02000427246094,238.83079956054686,,0.0,,,0.0,0.0,2
ALHC,19.139999389648438,17.054600105285644,,0.0,,,0.0,0.0,2
AMTM,30.0,23.247399940490723,-2.479646002151503,0.0,,3.0,0.0,0.0,2
ANF,90.23999786376953,75.64440048217773,,0.0,,,0.0,0.0,2
BBY,79.66000366210938,77.53780059814453,,0.0,,,0.0,0.0,2
BOOT,195.75999450683594,180.0570004272461,,0.0,,,0.0,0.0,2
BROS,57.369998931884766,54.23359970092773,,0.0,,,0.0,0.0,2
CENT,34.150001525878906,31.742799987792967,,0.0,,,0.0,0.0,2
DDS,666.6099853515625,608.5639245605469,,0.0,,,0.0,0.0,2
DOOO,69.69999694824219,64.32299995422363,,0.0,,,0.0,0.0,2
ICLR,174.52999877929688,174.1483999633789,,0.0,,,0.0,0.0,2
INSP,130.38999938964844,81.61879943847656,,0.0,,,0.0,0.0,2
JANX,34.7400016784668,26.432600135803224,,0.0,,,0.0,0.0,2
KEYS,195.4600067138672,174.07580078125,,0.0,,,0.0,0.0,2
KSS,22.420000076293945,16.418599987030028,,0.0,,,0.0,0.0,2
KYIV,14.510000228881836,12.515200004577636,4.399875720525333,0.0,,4.0,0.0,0.0,2
LEN,131.0800018310547,123.726025390625,3.2206908846570848,0.0,,3.0,0.0,0.0,2
MHO,137.11000061035156,134.87220016479492,,0.0,,,0.0,0.0,2
NHC,137.9499969482422,123.31400329589843,,0.0,,,0.0,0.0,2
OMAB,108.29000091552734,103.52579986572266,,0.0,,,0.0,0.0,2
OSIS,267.32000732421875,254.04160095214843,4.283377991413784,0.0,,2.0,0.0,0.0,2
PFSI,133.67999267578125,124.12766311645508,,0.0,,,0.0,0.0,2
PSMT,125.66999816894531,119.53980056762695,,0.0,,,0.0,0.0,2
RDDT,218.47999572753906,209.52740051269532,,0.0,,,0.0,0.0,2
RL,364.5,323.921640625,,0.0,,,0.0,0.0,2
SEB,4581.81982421875,3665.1343603515625,,0.0,,,0.0,0.0,2
SYM,77.29000091552734,64.5781999206543,-1.9736875127226328,0.0,,2.0,0.0,0.0,2
URBN,68.30999755859375,67.23379959106445,,0.0,,,0.0,0.0,2
VCEL,42.540000915527344,35.31360023498535,,0.0,,,0.0,0.0,2
VCYT,49.380001068115234,37.15219997406006,,0.0,,,0.0,0.0,2
VIK,67.87000274658203,60.47480010986328,2.114940045542757,0.0,,3.0,0.0,0.0,2
VLTO,103.95999908447266,102.245673828125,,0.0,,,0.0,0.0,2
WING,262.9700012207031,246.2125714111328,,0.0,,,0.0,0.0,2
WWD,293.6700134277344,256.15946319580075,,0.0,,,0.0,0.0,2
ZM,86.33999633789062,82.60799987792969,,0.0,,,0.0,0.0,2
DGNX,11.380000114440918,16.74599998474121,-3.099393569460055,-21.462269094155644,,3.0,18.0,0.9279617341094233,2
BBWI,16.899999618530273,23.890618133544923,,0.0,,,0.0,0.0,0
BLDR,108.97000122070312,116.85759948730468,8.395506360181493,0.0,,2.0,0.0,0.0,0
DHI,154.52999877929688,154.71674926757814,5.78449948132862,0.0,,2.0,0.0,0.0,0
HSAI,20.219999313354492,23.729000034332277,,0.0,,,0.0,0.0,0
MGRC,104.2300033569336,111.74236541748047,,0.0,,,0.0,0.0,0
RCL,266.4100036621094,294.45426666259766,,0.0,,,0.0,0.0,0
SLNO,49.77000045776367,58.56230010986328,,0.0,,,0.0,0.0,0
SN,93.30999755859375,95.15100006103516,,0.0,,,0.0,0.0,0
SNEX,89.12000274658203,94.30300018310547,,0.0,,,0.0,0.0,0
WD,64.25,77.00280891418457,,0.0,,,0.0,0.0,0
WSC,19.260000228881836,20.567900085449217,6.802048337324806,0.0,,4.0,0.0,0.0,0
