,price,ma50,avgvol,mean_ret_fwd_1d,appearances,appearances_persistent,avg_HotScore,mean_ret_fwd_5d,rule_score
ALB,121.38999938964844,92.63298675537109,3988385.0,3.135091365404974,3.0,15.0,0.8035275686194241,0,4
ARQT,27.280000686645508,20.944099922180175,3094480.0,4.2415002182482064,4.0,15.0,0.830299476008155,0,4
AS,33.36000061035156,33.03019992828369,5372445.0,8.452536937982469,3.0,18.0,0.8405630255187105,0,4
CWAN,20.829999923706055,18.41560007095337,7146760.0,4.306462893949403,3.0,16.0,0.801660102234422,0,4
JAZZ,180.52000427246094,135.91520111083983,1276430.0,6.132052536382382,3.0,17.0,0.9666550935466305,0,4
LNW,88.9000015258789,81.92740020751953,4003490.6,2.183909799860806,3.0,18.0,0.8123136996619716,0,4
TERN,27.559999465942383,10.883999967575074,5292700.0,7.824726298077267,4.0,19.0,0.889542791980119,0,4
BL,54.209999084472656,53.4857999420166,1333385.0,,2.0,0.0,0.0,0,2
BLTE,123.19000244140625,87.89460052490234,99685.0,,2.0,0.0,0.0,0,2
CHDN,104.55999755859375,96.55080001831055,760280.0,,2.0,0.0,0.0,0,2
CNTA,28.360000610351562,23.506099967956544,2145530.0,3.806738386327191,3.0,0.0,0.0,0,2
DGNX,16.200000762939453,16.518199977874755,986545.0,19.20530228879027,3.0,18.0,0.9279617341094233,0,2
EXAS,69.68000030517578,60.38620018005371,3045760.0,,2.0,0.0,0.0,0,2
GLBE,37.0099983215332,35.6184001159668,1362030.0,,2.0,0.0,0.0,0,2
LQDA,30.200000762939453,24.45240016937256,2626920.0,,2.0,0.0,0.0,0,2
MDT,100.80000305175781,94.4673762512207,7202965.0,4.694645128550712,3.0,0.0,0.0,0,2
MH,16.239999771118164,12.892800006866455,657015.0,6.352320132782441,3.0,0.0,0.0,0,2
MRK,96.43000030517578,85.6009033203125,12661730.0,,2.0,0.0,0.0,0,2
MSGE,47.4900016784668,45.08140014648438,326995.0,,2.0,0.0,0.0,0,2
NBIS,90.54000091552734,110.31040084838867,21996210.0,5.303555920629099,3.0,17.0,0.7897343654706529,0,2
NTRA,213.64999389648438,183.02649963378906,1443610.0,,2.0,0.0,0.0,0,2
ONDS,7.840000152587891,7.4765000152587895,99539930.0,25.33972836367633,3.0,0.0,0.0,0,2
QUBT,12.34000015258789,17.195599937438963,37077770.0,7.304349152938183,3.0,18.0,0.7731549947118753,0,2
SRRK,39.80500030517578,32.71100025177002,2122580.0,9.144499514245851,3.0,0.0,0.0,0,2
TARS,76.97000122070312,65.09289932250977,490375.0,,2.0,0.0,0.0,0,2
TIGO,56.099998474121094,47.395938873291016,840910.0,4.801045681731231,3.0,0.0,0.0,0,2
VLO,185.42999267578125,167.66379943847656,2424405.0,3.9405824102079157,3.0,0.0,0.0,0,2
WAFD,30.68000030517578,30.016000022888182,642330.0,,2.0,0.0,0.0,0,2
BFAM,99.69000244140625,103.14519973754882,1026820.0,,2.0,0.0,0.0,0,0
BIDU,117.13999938964844,126.48660049438476,3946260.0,,2.0,0.0,0.0,0,0
BMNR,32.279998779296875,49.67819984436035,36634150.0,,2.0,0.0,0.0,0,0
BRBR,26.260000228881836,33.16459999084473,4006670.0,,2.0,0.0,0.0,0,0
CLH,209.27999877929688,227.35699951171875,708700.0,,2.0,0.0,0.0,0,0
DASH,212.0800018310547,252.45159942626952,6356210.0,0.6788549613122807,4.0,0.0,0.0,0,0
DECK,83.7699966430664,97.68340011596679,5643675.0,,2.0,0.0,0.0,0,0
HTFL,27.309999465942383,34.29099987030029,466050.0,,2.0,0.0,0.0,0,0
JHX,17.829999923706055,19.920400047302245,7095755.0,,2.0,0.0,0.0,0,0
LGN,0.0,0.0,,11.989036643439043,3.0,0.0,0.0,0,0
LSCC,64.69999694824219,69.4675993347168,2215460.0,,2.0,0.0,0.0,0,0
MOH,141.19000244140625,174.72399993896485,2225660.0,,2.0,0.0,0.0,0,0
MSTR,206.8000030517578,293.45820068359376,13290205.0,,2.0,0.0,0.0,0,0
NFLX,114.08999633789062,116.86614028930664,49144850.0,,2.0,0.0,0.0,0,0
PCAR,97.0,97.82748504638671,3024050.0,,2.0,0.0,0.0,0,0
TFX,107.47000122070312,122.45901016235352,675115.0,,2.0,0.0,0.0,0,0
TMC,5.420000076293945,6.836899948120117,6994770.0,,,0.0,0.0,0,0
TMDX,117.06999969482422,119.15490036010742,1015655.0,,2.0,0.0,0.0,0,0
UPST,37.90999984741211,51.4527001953125,7686440.0,,,0.0,0.0,0,0
UPWK,17.079999923706055,17.32140007019043,3462780.0,,2.0,0.0,0.0,0,0
WRBY,17.149999618530273,22.943599891662597,3190280.0,,2.0,0.0,0.0,0,0
WULF,12.0,12.746200046539307,49175010.0,,2.0,0.0,0.0,0,0
