,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
AS,34.349998474121094,32.93899990081787,3.823218794086754,0.0,,4.0,25.0,0.8201808639989572,4
CWAN,20.75,18.44400007247925,1.3081169541548143,0.0,,4.0,19.0,0.7801975077361425,4
EXAS,100.66999816894531,61.90780014038086,20.24666087294139,0.0,,4.0,20.0,0.9055471317858028,4
GOOG,289.9800109863281,261.817200012207,0.5221708291720714,0.0,,5.0,21.0,0.7768841081407503,4
GOOGL,289.45001220703125,261.2078002929687,0.531146040743454,0.0,,5.0,22.0,0.769338300717476,4
LNW,88.9000015258789,81.98420013427734,0.744797404410924,0.0,,4.0,25.0,0.8074969749756475,4
PACS,26.139999389648438,12.949799938201904,21.286908843241232,0.0,,5.0,19.0,0.9378564131822057,4
TERN,26.110000610351562,11.65039999961853,2.582187834500102,0.0,,4.0,19.0,0.889542791980119,4
ABVX,122.9000015258789,93.9277001953125,0.1848258047846052,0.0,,4.0,0.0,0.0,2
ADPT,16.31999969482422,15.167000026702881,7.722772975273839,0.0,,3.0,0.0,0.0,2
AL,63.72999954223633,63.65699989318848,,0.0,,,0.0,0.0,2
AXTA,28.709999084472656,28.618199996948242,-0.714288439069477,0.0,,3.0,0.0,0.0,2
DGNX,11.899999618530273,16.63799997329712,-3.099393569460055,0.0,,3.0,18.0,0.9279617341094233,2
GEHC,74.75,74.68368179321288,,0.0,,,0.0,0.0,2
JOYY,63.70000076293945,59.403503036499025,,0.0,,2.0,0.0,0.0,2
MTSR,70.5,53.46820014953613,,0.0,,,0.0,0.0,2
NBIS,84.63999938964844,110.25300079345703,-0.22133198533986054,0.0,,4.0,23.0,0.7831075877989923,2
NJR,48.040000915527344,46.2385961151123,,0.0,,,0.0,0.0,2
NTRA,225.5500030517578,185.0325,2.7486610396597944,0.0,,4.0,0.0,0.0,2
PSNYW,0.23000000417232513,0.0,,0.0,,,0.0,0.0,2
RCUS,21.229999542236328,16.44279993057251,,0.0,,2.0,0.0,0.0,2
REGN,737.0,610.6252758789062,-3.114400776672921,0.0,,3.0,0.0,0.0,2
TBBB,31.579999923706055,27.116800117492676,2.746481327896144,0.0,,3.0,0.0,0.0,2
TJX,148.07000732421875,142.45795043945313,,0.0,,,0.0,0.0,2
TXG,16.459999084472656,13.300000057220458,,0.0,,,0.0,0.0,2
WMT,107.11000061035156,103.49779983520507,,0.0,,2.0,0.0,0.0,2
ABNB,111.54000091552734,122.68419998168946,,0.0,,,0.0,0.0,0
ABT,123.97000122070312,129.78848876953126,,0.0,,,0.0,0.0,0
ALAB,139.2899932861328,186.86550018310547,,0.0,,2.0,0.0,0.0,0
BA,179.3800048828125,209.5674008178711,,0.0,,,0.0,0.0,0
BRBR,29.799999237060547,32.86439998626709,6.634869369736551,0.0,,4.0,0.0,0.0,0
CRBG,27.760000228881836,31.438874397277832,,0.0,,,0.0,0.0,0
DASH,187.72999572753906,249.9000994873047,-2.6139356839158663,0.0,,5.0,0.0,0.0,0
DIS,102.69999694824219,111.79059967041016,,0.0,,,0.0,0.0,0
EOSE,12.880000114440918,13.666699962615967,-5.1928770996753855,0.0,,3.0,0.0,0.0,0
KLIC,39.029998779296875,39.79329544067383,,0.0,,2.0,0.0,0.0,0
KMPR,38.130001068115234,46.184542922973634,,0.0,,,0.0,0.0,0
LEN,116.25,124.24468978881836,,0.0,,,0.0,0.0,0
MENS,32.79999923706055,49.51819995880127,,0.0,,,0.0,0.0,0
META,589.1500244140625,700.827294921875,-1.2330798720211145,0.0,,2.0,0.0,0.0,0
MMS,82.05999755859375,85.67269821166992,,0.0,,2.0,0.0,0.0,0
MRP,29.239999771118164,32.27285415649414,,0.0,,,0.0,0.0,0
MSFT,478.42999267578125,512.6943371582031,-2.0251680418905957,0.0,,3.0,0.0,0.0,0
MSTR,177.1300048828125,287.68140075683596,-7.420187490624075,0.0,,3.0,0.0,0.0,0
OBDC,12.029999732971191,12.710993518829346,,0.0,,,0.0,0.0,0
ODD,39.56999969482422,50.897799758911134,,0.0,,2.0,0.0,0.0,0
PANW,185.07000732421875,209.03979888916015,,0.0,,,0.0,0.0,0
POWL,294.3500061035156,329.8552185058594,-11.233008269671963,0.0,,3.0,0.0,0.0,0
PPL,35.540000915527344,36.72300018310547,,0.0,,,0.0,0.0,0
SHOP,144.55999755859375,156.55960021972658,-0.9863030420590779,0.0,,3.0,0.0,0.0,0
SMPL,20.110000610351562,22.88139991760254,,0.0,,,0.0,0.0,0
SRAD,21.110000610351562,26.14849998474121,,0.0,,,0.0,0.0,0
VICI,28.799999237060547,31.13810199737549,,0.0,,,0.0,0.0,0
WSC,15.850000381469727,20.866300048828126,,0.0,,2.0,0.0,0.0,0
XYZ,61.95000076293945,73.40199974060059,-0.08064393074281861,0.0,,3.0,0.0,0.0,0
