,price,ma50,avgvol,mean_ret_fwd_1d,appearances,appearances_persistent,avg_HotScore,mean_ret_fwd_5d,rule_score
AS,33.189998626708984,33.02679988861084,5031735.15,7.899864693581904,2.0,10.0,0.7847322502227227,0,4
GOOG,287.03009033203125,259.80600189208985,21811761.3,0.49019393087019747,2.0,9.0,0.7799809391179653,0,4
GOOGL,286.4100036621094,259.19600006103514,33975920.15,0.47365313155312005,2.0,10.0,0.7566945499183266,0,4
JAZZ,176.51499938964844,135.8351010131836,1101560.95,3.7774138339060626,2.0,9.0,0.9600094588388066,0,4
LNW,87.0,81.90900024414063,4060665.2,,2.0,10.0,0.8570975601263374,0,4
MTSR,70.5,53.46820014953613,4779945.55,,,10.0,0.6855018323083708,0,4
SNDK,245.9600067138672,155.57320098876954,12045367.7,-7.732810734547579,3.0,10.0,0.8189800194813053,0,4
TERN,26.764999389648438,10.868099966049193,5174786.35,4.890453936298278,3.0,11.0,0.8822991743910868,0,4
B,37.45000076293945,33.161400146484375,18180821.2,,1.0,0.0,0.0,0,2
BLTE,122.98999786376953,87.8906004333496,95374.0,,1.0,0.0,0.0,0,2
DGNX,15.4197998046875,16.502595958709716,914809.7,13.61294633571526,2.0,10.0,0.9165619633056041,0,2
GT,7.679999828338623,7.560599994659424,8140313.75,,1.0,0.0,0.0,0,2
MDT,101.05999755859375,94.47257614135742,6594029.55,4.949106200729458,2.0,0.0,0.0,0,2
MRK,96.0,85.59230331420899,11911423.3,,1.0,0.0,0.0,0,2
QUBT,12.079999923706055,17.19039993286133,35579357.35,4.9565190854279795,2.0,10.0,0.7594200121941808,0,2
SRRK,38.97999954223633,32.69450023651123,2004375.65,6.854949043930425,2.0,0.0,0.0,0,2
XP,18.760000228881836,18.0971000289917,6035040.2,,1.0,0.0,0.0,0,2
AXTA,28.354999542236328,28.74950004577637,4196994.65,,1.0,0.0,0.0,0,0
BMNR,33.32500076293945,49.6990998840332,35301616.5,,1.0,0.0,0.0,0,0
CRCL,77.38999938964844,125.25280029296874,14986596.95,,1.0,0.0,0.0,0,0
FCX,40.86000061035156,41.33492767333984,13983003.95,,1.0,0.0,0.0,0,0
HTFL,27.739999771118164,34.29959987640381,437690.15,,1.0,0.0,0.0,0,0
IREN,49.54999923706055,53.356100158691405,38932213.45,,1.0,0.0,0.0,0,0
JHX,17.90250015258789,19.921850051879883,6502971.25,,1.0,0.0,0.0,0,0
META,593.97998046875,707.2010205078125,24044348.15,,1.0,0.0,0.0,0,0
MSFT,493.9932861328125,514.3566644287109,24219819.9,-2.620738940452083,2.0,0.0,0.0,0,0
MSTR,210.63999938964844,293.5350006103516,12684261.05,,1.0,0.0,0.0,0,0
NBIS,90.19999694824219,110.30360076904297,21190012.25,4.612464840054686,2.0,0.0,0.0,0,0
NFLX,112.96910095214844,116.8437223815918,47681245.9,,1.0,0.0,0.0,0,0
ONDS,6.834400177001953,7.45638801574707,93571450.85,9.192642665787254,2.0,0.0,0.0,0,0
PDD,120.37999725341797,131.76699966430664,6838051.65,,1.0,0.0,0.0,0,0
SMR,21.450000762939453,37.6211999130249,22916168.75,,1.0,0.0,0.0,0,0
WULF,12.005000114440918,12.746300048828125,47427882.2,,1.0,0.0,0.0,0,0
