ticker,price,ma50,appearances,avg_HotScore,rule_score
ACLS,164.57000732421875,137.91100036621094,1,0.9236521405126056,3
ASH,62.5,55.603616104125976,1,0.8755848872127941,3
BAP,349.6099853515625,331.04570922851565,1,0.9825152970501808,4
CECO,95.44499969482422,73.88449981689453,1,0.9244950227508368,4
IFS,52.54999923706055,47.08483123779297,1,0.9226866401285004,3
NUVL,123.25,102.79019973754885,1,0.988595035106663,4
POOL,192.4199981689453,198.4736669921875,1,0.9232421151025804,1
SJM,112.38999938964844,97.5994692993164,1,0.9453043830950808,4
VECO,67.19000244140625,51.16620002746582,1,0.9356021047881512,4
WWD,380.75,367.3170379638672,1,0.9215176715176716,3
