ticker,price,ma50,appearances,avg_HotScore,rule_score
CRWV,117.02999877929688,110.19469924926756,1,0.8835595066847182,3
CYTK,75.20999908447266,70.41539985656738,1,0.8912969093755287,3
INOD,107.41999816894533,73.56920013427734,1,0.89262777119648,4
KRMN,51.70000076293945,66.45400032043457,1,0.8884976836182095,1
LION,16.360000610351562,12.659599990844727,1,0.8918281435099,3
MRNA,55.400001525878906,49.73019981384277,1,0.8894461837874428,3
TLN,406.510009765625,360.9415997314453,1,0.9608023777288882,4
TTWO,229.97000122070312,218.5190002441406,1,0.9011923019969538,4
WDC,681.0800170898438,463.732216796875,1,0.9321374174987308,4
WWD,421.5400085449219,370.1578302001953,1,0.9379759688610594,4
