ticker,price,ma50,appearances,avg_HotScore,rule_score
DXCM,61.630001068115234,63.23219970703125,1,0.8910165669182062,2
ENPH,52.88999938964844,37.67119995117187,1,0.9137259767294896,4
FIG,22.920000076293945,21.306400032043456,1,0.8689366876076479,3
HUBS,198.3800048828125,233.33539978027343,1,0.940920783613992,2
INOD,96.0999984741211,48.59259979248047,1,0.8780174528827924,3
MICC,16.65999984741211,14.635799980163574,1,0.8876972355426688,3
MXL,92.33999633789062,38.97179996490478,1,0.8786388052488755,3
SEDG,61.7599983215332,43.67179985046387,1,0.959486574228963,4
STN,77.2699966430664,88.11233596801758,1,0.8673521430430094,1
WING,129.2100067138672,172.45859985351564,1,0.9216754953347458,2
