ticker,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
APP,486.7000122070313,625.3875,,0.0,,1.0,2,0.7795141948115516,0
ENLT,58.13999938964844,45.952399826049806,,0.0,,1.0,2,0.799274351443955,2
LITE,437.4200134277344,346.6275991821289,,0.0,,1.0,2,0.8747552618697992,3
RMBS,122.47000122070312,100.62760009765626,,0.0,,1.0,2,0.8579943710230054,3
SNDK,652.9849853515625,312.4504989624023,,0.0,,1.0,2,0.9315186000978952,3
STX,429.3100891113281,304.4623031616211,,0.0,,1.0,2,0.815340186000979,3
TCGL,172.83999633789062,11.14279993057251,,0.0,,0.0,2,0.9702949094468918,3
TWST,46.650001525878906,35.03300006866455,,0.0,,1.0,2,0.8015920215369554,2
USAR,24.364999771118164,16.67760009765625,,0.0,,1.0,2,0.7968392070484581,2
WDC,262.0,192.85205535888676,,0.0,,1.0,2,0.806075624082232,2
