ticker,price,ma50,appearances,avg_HotScore,rule_score
AAMI,79.1500015258789,72.10129333496094,1,0.9169308251235688,4
BELFB,277.45001220703125,282.17180236816404,1,0.8682946080668769,1
CHRN,18.25,17.216499977111816,1,0.8595172239374266,3
GFL,40.4900016784668,36.7355997467041,1,0.8762267690928489,4
IMOS,72.52999877929688,56.450781173706055,1,0.9620279659976192,4
LEU,174.22999572753906,184.22000030517577,1,0.8611221811629789,1
LMND,78.69999694824219,58.12279983520508,1,0.9193083322540152,4
NBTX,41.09999847412109,38.9268000793457,1,0.9126978474614652,4
RMD,218.3999938964844,201.45433013916016,1,0.8543196385037307,3
STEP,43.95000076293945,47.96771820068359,1,0.8512955390983458,1
