ticker,price,ma50,appearances,avg_HotScore,rule_score
ARM,402.7099914550781,209.42490112304688,1,0.9363529411764704,3
HUBS,240.16000366210935,221.21200073242187,1,0.9438823529411764,4
LEGN,36.27999877929688,23.70879997253418,1,0.924329487469522,3
MDB,398.4599914550781,277.8375997924805,1,0.9788235294117648,4
MRVL,290.7900085449219,153.32071655273438,1,0.9433861196993693,3
OKTA,135.32000732421875,81.83589981079102,1,0.9203529411764706,3
SAIC,113.36000061035156,96.87781875610352,1,0.9205882352941176,3
SIMO,301.2699890136719,189.92429306030277,1,0.945227735464897,4
TMHC,71.5,59.70060005187988,1,0.9594117647058824,4
TWLO,229.3000030517578,160.4429995727539,1,0.9654117647058824,4
