,price,ma50,avgvol,mean_ret_fwd_1d,appearances,appearances_persistent,avg_HotScore,mean_ret_fwd_5d,rule_score
JAZZ,174.97999572753906,135.80440093994142,1079628.6,2.874948259704979,2.0,7,0.975117849334277,0,4
LNW,87.0,81.90900024414063,4060665.2,,2.0,8,0.8726007282819193,0,4
SNDK,238.26690673828125,155.41933898925782,11928559.1,-10.38438397145387,3.0,8,0.8699500506999795,0,4
TERN,26.549999237060547,10.863799962997437,5105153.8,3.873238622079378,3.0,9,0.8880824701263376,0,4
GOOGL,280.2900085449219,259.0736001586914,33572905.75,-1.6419875293577246,2.0,8,0.7878834923513978,0,3
MTSR,70.5,53.46820014953613,4779945.55,,,8,0.6992714960400481,0,3
DGNX,14.899999618530273,16.49219995498657,903892.3,9.607801968091835,2.0,8,0.9175008434460316,0,2
AS,32.97999954223633,33.022599906921386,4971021.0,7.206435577781223,2.0,8,0.7544455331880631,0,1
QUBT,11.874500274658203,17.18628993988037,35257649.1,3.34782807723335,2.0,8,0.7599572656207674,0,1
TSLA,397.5899963378906,431.930400390625,86822601.95,-2.7787398789998807,2.0,8,0.6724231141367901,0,1
