,price,ma50,avg_HotScore,median_HotScore,max_HotScore,avg_TrendScore,avg_MomentumScore,avg_VolumeScore,avg_VolatilityScore,avg_VolumeSpike,avg_regularMarketChangePercent,avg_regularMarketPrice,appearances,avg_HotScore_persistent,rule_score
ASND,263.0400085449219,255.50800048828125,0.912126245847176,0.912126245847176,0.912126245847176,0.9867109634551496,0.9700996677740864,0.7940199335548173,0.9800664451827242,1.5011535226808022,6.103023,263.04,1,0.912126245847176,4
AGCO,118.30999755859375,110.78695724487305,0.9064784053156144,0.9064784053156144,0.9064784053156144,0.9667774086378738,0.9003322259136213,0.8970099667774086,0.903654485049834,2.146200052481035,4.33901,118.31,1,0.9064784053156144,4
CRWD,231.0,197.42254913330078,0.9019933554817274,0.9019933554817274,0.9019933554817274,0.840531561461794,0.956810631229236,0.8239202657807309,0.973421926910299,1.6335650583297774,5.7692337,231.0,1,0.9019933554817274,4
PLSE,50.33000183105469,35.80060001373291,0.9018272425249168,0.9018272425249168,0.9018272425249168,0.9601328903654484,0.9601328903654484,0.8637873754152824,0.8372093023255814,1.739633826544397,5.8019805,50.33,1,0.9018272425249168,3
ASST,24.219999313354492,13.71369987487793,0.897674418604651,0.897674418604651,0.897674418604651,0.5980066445182725,0.9966777408637874,0.9302325581395348,0.8172757475083057,3.072317840546396,11.407541,24.22,1,0.897674418604651,3
WFRD,97.7699966430664,86.7525080871582,0.8855481727574751,0.8855481727574751,0.8855481727574751,0.9368770764119602,0.8970099667774086,0.8604651162790697,0.8837209302325582,1.7264696953295475,4.243518,97.77,1,0.8855481727574751,3
CHA,11.630000114440918,11.058000087738037,0.8810631229235881,0.8810631229235881,0.8810631229235881,0.8073089700996677,0.9900332225913622,0.956810631229236,0.5946843853820598,6.096699055888636,7.6851845,11.63,1,0.8810631229235881,3
STDN,16.110000610351562,0.0,0.8769102990033223,0.8769102990033223,0.8769102990033223,0.7840531561461794,1.0,0.8372093023255814,0.7774086378737541,1.642509541769236,14.2553,16.11,1,0.8769102990033223,3
SNDK,1566.699951171875,1592.2811889648438,0.917940199335548,0.917940199335548,0.917940199335548,0.946843853820598,0.946843853820598,0.8338870431893688,1.0,1.6402452895820974,5.5031023,1566.7,1,0.917940199335548,2
CAR,147.49000549316406,152.34840118408204,0.916279069767442,0.916279069767442,0.916279069767442,0.9800664451827242,0.9800664451827242,0.8073089700996677,0.9634551495016612,1.5250503099816808,6.7839637,147.49,1,0.916279069767442,2
