,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
SNDK,482.3699951171875,286.716799621582,2.2928979460719603,13.410961035515863,69.54739849304444,25,283.0,0.8231606160874735,6
RGC,32.720001220703125,21.968800048828125,2.8101367364328307,13.355256727773316,78.33883178764826,28,327.0,0.8515493055501732,6
RKLB,86.19000244140625,65.1315005493164,0.8822336836378952,8.867213196276065,41.490192950471126,27,365.0,0.758954328941358,6
MU,410.8699951171875,283.98420989990234,2.168559301985632,8.355221127606159,39.6620574318975,27,304.0,0.7989605759789123,6
BE,150.95509338378906,109.86870223999023,1.5052314947399807,7.820857251598236,10.022235457381464,21,264.0,0.7899419957348328,6
VERA,46.5,43.5022998046875,0.44676304603347494,7.578142674295977,12.110311720871932,16,248.0,0.8238586891884206,6
ASTS,111.73999786376953,78.3429997253418,1.0883689430209136,7.424155885649161,36.040922591587154,27,376.0,0.7710630463369793,6
LITE,368.04998779296875,333.6315985107422,0.19121513935521123,3.0266229956174877,7.47527537018066,21,285.0,0.7962610602120409,6
CRWV,108.94999694824219,81.25420043945313,0.6321449731110652,1.2569492721597049,11.730110230652448,30,252.0,0.7310671768954458,6
SKM,27.43000030517578,20.775599861145018,5.6590344593223545,18.31319618635603,,3,0.0,0.0,4
HYMC,54.973899841308594,21.858077964782716,0.6780357660101431,13.875521422111243,103.10857087181698,16,0.0,0.0,4
APLD,41.099998474121094,28.99409999847412,3.0414411163504775,13.259395685377141,28.27607007742648,24,0.0,0.0,4
UMC,12.529999732971191,8.315200023651123,6.3631567437216985,12.149194701012291,,5,0.0,0.0,4
IREN,59.7400016784668,45.82550003051758,1.2168511522928884,7.2768378979196084,26.80018211857389,24,0.0,0.0,4
MKSI,228.5,170.38518859863282,1.132523216586138,6.997342676315801,36.25324021307134,7,0.0,0.0,4
RTX,200.99119567871094,182.37543579101563,0.7105849463407088,6.763906494609295,,2,0.0,0.0,4
POWL,442.0799865722656,350.1935827636719,0.8049309717412938,5.296967755340635,7.259674859576393,9,0.0,0.0,4
ASML,1456.9300537109375,1142.8907873535156,1.9101907255045414,5.134842766776276,1.3950000553657544,9,0.0,0.0,4
SATS,124.8499984741211,99.38219970703125,1.3717913646186684,4.968853620020478,22.511039306714874,15,0.0,0.0,4
VIST,57.125,49.07229995727539,-1.9419443561306649,4.964963972685998,,2,0.0,0.0,4
COHR,212.72500610351562,177.71709991455077,0.7968627420975962,4.317451412128903,7.079568369012217,16,0.0,0.0,4
GFS,47.4900016784668,37.96759994506836,1.9219601619014852,4.119235989740005,1.1809989100445506,4,0.0,0.0,4
PL,27.84000015258789,18.372399921417237,0.9514419714521806,3.956065475037584,38.60717407994573,16,0.0,0.0,4
