,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
RGC,33.720001220703125,19.545800113677977,3.973297682461043,21.71607562459267,106.03127523785811,25,305.0,0.8484003175064868,6
SNDK,394.80499267578125,250.46010040283204,1.7609101546286616,13.411517364953648,38.854557849459546,18,253.0,0.8226186724344042,6
RKLB,89.38999938964844,59.50530014038086,2.0383951009748515,11.836471374393984,54.94492769499858,22,340.0,0.7554716468040334,6
BE,132.6448974609375,107.96929840087891,1.7402827330117414,9.268653309248041,-13.41367266107136,17,241.0,0.792787273055059,6
ASTS,92.51000213623047,71.64289962768555,1.6467977835662282,8.065773289825238,25.937017238715438,22,345.0,0.7605821181962303,6
MU,332.739990234375,261.058818359375,1.820570117431372,7.770123305499794,34.85269839909415,20,267.0,0.7914697792456141,6
VERA,49.439998626708984,40.30339973449707,0.44676304603347494,7.714235701032553,24.547358970088226,16,248.0,0.8238586891884206,6
LITE,333.05999755859375,315.3739993286133,0.45508190567597634,3.427615710570122,10.838624144376876,18,267.0,0.7970482748095618,6
ALMS,24.219999313354492,9.986999998092651,8.158153035340675,36.229212778554576,,5,0.0,0.0,4
GPCR,83.97000122070312,51.65310024261475,10.17408263395291,18.551012790634065,42.79622329718251,11,0.0,0.0,4
MP,68.28990173339844,57.96439788818359,3.25219817169084,15.099512351529032,,3,0.0,0.0,4
VNET,12.251299858093262,9.19202600479126,4.152754326566323,14.379807562962132,,6,0.0,0.0,4
BILI,33.290000915527344,26.491600074768066,1.046390541587744,13.450299868679107,,5,0.0,0.0,4
SYNA,92.5199966430664,73.11380012512207,2.8891208637276162,6.04610134181744,2.796310031175364,6,0.0,0.0,4
TGB,7.267600059509277,5.198951988220215,-0.5558655137299177,5.000121485874076,,4,0.0,0.0,4
TTMI,98.80999755859375,70.38219940185547,3.4375539786974976,4.4548408014310645,-5.560025479974634,7,0.0,0.0,4
ACN,289.57000732421875,261.48600006103516,0.49324638464812165,3.523290829457437,4.882883767180135,3,0.0,0.0,4
DOW,28.489999771118164,23.390913429260255,0.06379263568362381,3.4347424786906444,,3,0.0,0.0,4
PSLV,30.344999313354492,20.73129997253418,1.5706470227263736,3.0619066830342905,30.36997855338438,11,0.0,0.0,4
BMNR,32.310001373291016,33.057538986206055,0.360951097895299,2.9025357298179584,-11.782689644960648,22,246.0,0.7226015312342212,4
WDFC,202.8699951171875,198.1005993652344,1.4418504579533309,2.3019885206690516,-4.693482927575343,2,0.0,0.0,4
MTRN,147.2449951171875,124.28053039550781,-1.6047921247349106,2.059881701440869,7.497005500717324,2,0.0,0.0,4
VLO,188.44500732421875,173.68822998046875,0.6905912248180017,1.287482093853794,,5,0.0,0.0,4
CNXC,40.81999969482422,38.44879989624023,0.819630793823678,0.6966098075064283,,4,0.0,0.0,4
LYB,52.36000061035156,44.3597208404541,5.726977168884617,0.4675099781354941,11.36045055873991,2,0.0,0.0,4
APGE,82.625,71.19919982910156,0.7474628770716363,0.21317332570239822,2.15607404145578,4,0.0,0.0,4
BTDR,14.680000305175781,12.775200023651124,2.8685966142203068,0.16657297352274938,-17.97166200473296,6,0.0,0.0,4
AD,56.8849983215332,49.95729995727539,,0.0,,1,0.0,0.0,2
ATRO,71.23500061035156,53.69070030212402,-0.8384387048754216,0.0,,3,0.0,0.0,2
CMPO,23.309999465942383,20.04439998626709,-1.3374399318019758,0.0,,3,0.0,0.0,2
DOO,78.11000061035156,69.84477584838868,,0.0,,1,0.0,0.0,2
ERAS,8.34000015258789,3.5125000190734865,10.859421291881134,0.0,,2,0.0,0.0,2
GRFS,9.295000076293945,8.913499965667725,,0.0,,1,0.0,0.0,2
JAZZ,171.72000122070312,163.30600067138673,,0.0,,1,0.0,0.0,2
LNG,202.3350067138672,200.95881286621093,,0.0,,1,0.0,0.0,2
NOC,650.64501953125,572.9616979980469,3.220638756637917,0.0,,3,0.0,0.0,2
MSTR,177.8300018310547,184.14500122070314,0.23967059118618636,-0.4582852427703708,-10.358475528227427,25,269.0,0.7316489223284399,2
CF,88.04000091552734,79.89669616699219,3.456234507387679,-0.4703823154794229,2.7078529802357476,3,0.0,0.0,2
NTR,66.11840057373047,59.67216789245605,0.9564802770651378,-0.59161379980374,1.738771005109448,4,0.0,0.0,2
CLSK,13.419699668884277,12.752893905639649,-2.2989302401412726,-1.9786686535072193,-18.29230790270263,12,0.0,0.0,2
EWTX,27.290000915527344,22.910900115966797,-0.7795608385450105,-2.414076940631064,-0.5057816627346945,11,0.0,0.0,2
LB,57.72779846191406,57.598945693969725,1.6940964733610824,-3.0604095116324093,-20.574924035695467,8,0.0,0.0,2
MOS,28.125,24.775750427246095,-1.8696103564364972,-3.9592073702033765,3.2199109852421666,6,0.0,0.0,2
INFY,19.139999389648438,17.6946000289917,-0.5902124857218415,-5.1925649183819775,,5,0.0,0.0,2
CVI,24.450000762939453,31.110200347900392,,0.0,,1,0.0,0.0,0
VKTX,35.1349983215332,35.84509994506836,0.14902551915957907,-3.971202412368638,-16.441849911799316,5,0.0,0.0,0
