,price,ma50,avg_HotScore,median_HotScore,max_HotScore,avg_TrendScore,avg_MomentumScore,avg_VolumeScore,avg_VolatilityScore,avg_VolumeSpike,avg_regularMarketChangePercent,avg_regularMarketPrice,appearances,avg_HotScore_persistent,rule_score
LMAT,111.97000122070312,86.41699996948242,0.9839298760511932,0.9835504885993486,0.992777777777778,0.9873215977682429,0.9883207864758362,0.9822370460087279,0.9775123745238573,2.897723721809534,19.849563714285715,109.51785714285714,1,0.9839298760511932,4
SEZL,86.19999694824219,68.22819969177246,0.9788021600646947,0.9786301369863012,0.9816666666666668,0.8568429587787428,0.9996796925048047,0.9898618535256399,0.9838916153808241,3.328057137009722,30.736167,81.86744285714285,1,0.9788021600646947,4
ECG,122.36000061035156,94.04959991455078,0.9735507246376812,0.9735507246376812,0.9735507246376812,0.929951690821256,0.9903381642512076,0.9637681159420288,0.9830917874396136,4.793927606734076,24.8441,130.1,1,0.9735507246376812,4
JAZZ,189.80499267578125,168.93350006103515,0.9695652173913044,0.9695652173913044,0.9695652173913044,0.92512077294686,0.9637681159420288,0.9830917874396136,0.9782608695652174,5.637288625346208,13.2313175,196.83,1,0.9695652173913044,4
UTHR,506.94000244140625,486.2897979736328,0.9634057971014492,0.9634057971014492,0.9634057971014492,0.9903381642512076,0.961352657004831,0.9396135265700484,0.9951690821256038,2.773805938037866,13.026209,535.1,1,0.9634057971014492,4
CAVA,83.80000305175781,65.02920013427735,0.9487922705314008,0.9487922705314008,0.9487922705314008,0.6908212560386473,0.9951690821256038,0.966183574879227,0.966183574879227,4.991874026404268,26.3569,85.67,1,0.9487922705314008,3
CLDX,30.274999618530273,25.65070011138916,0.930193236714976,0.930193236714976,0.930193236714976,0.785024154589372,0.9879227053140096,0.9734299516908212,0.8260869565217391,5.289678140113698,24.074072,30.82,1,0.930193236714976,3
TRI,99.93000030517578,112.92138214111328,0.9352657004830918,0.9352657004830918,0.9352657004830918,0.8091787439613527,0.9516908212560388,0.9758454106280192,0.8985507246376812,5.3928616173828186,10.311912,99.38,1,0.9352657004830918,1
CECO,63.16999816894531,66.7063998413086,0.9241545893719806,0.9241545893719806,0.9241545893719806,0.9202898550724636,0.932367149758454,0.9951690821256038,0.7874396135265701,6.655595264618005,8.016663,64.81,1,0.9241545893719806,1
INSP,68.51499938964844,83.1598999786377,0.9227578475336324,0.9227578475336324,0.9227578475336324,0.757847533632287,1.0,0.8587443946188341,0.9820627802690582,1.4514291982141692,33.518986,79.11,1,0.9227578475336324,1
