,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
RGC,31.0,21.934400024414064,2.8101367364328307,13.355256727773316,78.33883178764826,28,322.0,0.851864545711334,6
SNDK,475.5950012207031,286.5812997436523,2.242054124486169,13.011216876364673,73.00648869927677,25,283.0,0.8231606160874735,6
RKLB,84.88999938964844,65.10550048828125,0.8822336836378952,8.755486817099882,41.35926603297276,27,365.0,0.758954328941358,6
MU,406.3299865722656,283.8934097290039,2.168559301985632,8.199912783013373,39.416973449736254,27,299.0,0.7993783978693518,6
VERA,47.095001220703125,43.514199829101564,0.44676304603347494,7.578142674295977,12.258377218039888,16,248.0,0.8238586891884206,6
BE,142.8699951171875,109.7070002746582,1.5052314947399807,7.291367718675048,10.022235457381464,20,261.0,0.7909183711722099,6
ASTS,105.78299713134766,78.22385971069336,1.0883689430209136,7.024626823237279,34.88138787787844,27,376.0,0.7710630463369793,6
LITE,367.614990234375,333.62289855957033,0.19121513935521123,3.016814659493929,7.47527537018066,21,280.0,0.7968309720690444,6
CRWV,106.4000015258789,81.20320053100586,0.5395455793843407,1.0589116933344205,11.52689891756041,30,247.0,0.7284498288764316,5
UMC,12.463199615478516,8.313864021301269,6.226793099706018,11.958100067176204,,5,0.0,0.0,4
DOCN,63.11000061035156,48.97400001525879,4.960626712475225,11.429857487454974,7.844016324032133,3,0.0,0.0,4
NET,216.36500549316406,196.19650024414062,5.305147439797435,1.3017133096656974,-8.137764192851348,4,0.0,0.0,4
AKAM,103.5,88.96419952392579,1.2211926650723497,1.1537807946582046,4.761357684853884,4,0.0,0.0,4
STX,379.4949951171875,290.7529821777344,-0.12176567919152907,0.5642498010347972,15.739191341499044,8,0.0,0.0,4
AVAL,5.21999979019165,4.224637517929077,3.7773274842574978,0.0,,2,0.0,0.0,2
KC,14.699999809265137,11.69439998626709,2.491061453113513,-7.686565390247102,13.439429245758316,5,0.0,0.0,2
MSTR,157.88999938964844,171.58680084228516,0.012227919720058015,-0.8957431739998409,-4.592251539553842,26,274.0,0.7324699569735276,1
