,price,ma50,avg_HotScore,median_HotScore,max_HotScore,avg_TrendScore,avg_MomentumScore,avg_VolumeScore,avg_VolatilityScore,avg_VolumeSpike,avg_regularMarketChangePercent,avg_regularMarketPrice,appearances,avg_HotScore_persistent,rule_score
MDB,398.4599914550781,277.8375997924805,0.9788235294117648,0.9788235294117648,0.9788235294117648,0.9529411764705882,0.9952941176470588,0.9576470588235294,1.0,2.994369495101949,20.363588,403.88,1,0.9788235294117648,4
TWLO,229.3000030517578,160.4429995727539,0.9654117647058824,0.9654117647058824,0.9654117647058824,0.8870588235294118,0.9929411764705882,0.9552941176470588,0.9741176470588236,2.8701462355911618,19.3559,227.54,1,0.9654117647058824,4
TMHC,71.5,59.70060005187988,0.9594117647058824,0.9594117647058824,0.9594117647058824,0.8376470588235294,0.9976470588235294,1.0,0.8823529411764706,16.443025235914806,22.3077,71.55,1,0.9594117647058824,4
SIMO,301.2699890136719,189.92429306030274,0.945227735464897,0.945227735464897,0.9486577181208052,0.9305029786592263,0.9585124299323831,0.925993514817887,0.9630017846818995,1.7871585966436372,11.623765,299.2075,1,0.945227735464897,4
HUBS,240.16000366210938,221.21200073242187,0.9438823529411764,0.9438823529411764,0.9438823529411764,0.9411764705882352,0.9882352941176472,0.8776470588235294,0.983529411764706,2.078164431176951,18.8415,262.2,1,0.9438823529411764,4
MRVL,290.7900085449219,153.32071655273438,0.9433861196993691,0.9433861196993691,0.9435955056179776,0.5134353869743358,0.9977578362617198,0.9865520448432747,0.987670613075937,3.3214797298730536,30.800259999999998,287.015,1,0.9433861196993691,3
ARM,402.7099914550781,209.42490112304688,0.9363529411764704,0.9363529411764704,0.9363529411764704,0.7976470588235294,0.976470588235294,0.903529411764706,0.9929411764705882,2.206831589911652,15.726456,408.85,1,0.9363529411764704,3
LEGN,36.279998779296875,23.70879997253418,0.924329487469522,0.924329487469522,0.9252808988764044,0.5829575446798885,1.0,0.9932735087851595,0.8419400246336375,6.4055287071619444,41.140726,36.004999999999995,1,0.924329487469522,3
SAIC,113.36000061035156,96.87781875610352,0.9205882352941176,0.9205882352941176,0.9205882352941176,0.9623529411764706,0.903529411764706,0.9623529411764706,0.8564705882352941,3.223244658035488,10.441463,115.08,1,0.9205882352941176,3
OKTA,135.32000732421875,81.83589981079102,0.9203529411764706,0.9203529411764706,0.9203529411764706,0.7694117647058824,0.9670588235294116,0.9223529411764706,0.9105882352941176,2.4569081043637127,13.401474,139.79,1,0.9203529411764706,3
