,price,ma50,avg_HotScore,median_HotScore,max_HotScore,avg_TrendScore,avg_MomentumScore,avg_VolumeScore,avg_VolatilityScore,avg_VolumeSpike,avg_regularMarketChangePercent,avg_regularMarketPrice,appearances,avg_HotScore_persistent,rule_score
ACLX,113.79000091552734,69.05639999389649,0.9952830188679244,0.9952830188679244,0.9952830188679244,0.9528301886792452,1.0,1.0,1.0,30.36370247592188,77.42941,113.75,1,0.9952830188679244,4
KEYS,299.91400146484375,218.61627990722656,0.9875742139579731,0.9887142857142855,0.9887434554973822,0.9110424148162091,1.0,0.9920863981666311,0.9961986655901569,2.160495829857822,21.214264333333333,297.04833333333335,1,0.9875742139579731,4
VRE,18.809999465942383,15.378818836212158,0.9105345911949684,0.9105345911949684,0.9105345911949684,0.8176100628930818,0.9937106918238994,0.9968553459119496,0.660377358490566,24.91340204873704,12.1646,18.81,1,0.9105345911949684,4
TARS,77.22000122070312,72.77280021667481,0.9104430940616167,0.921321665089877,0.930890052356021,0.8644664622307398,0.9410435342854633,0.9463127905507138,0.817108670729404,1.429720131669787,8.906927750000001,75.00999999999999,1,0.9104430940616167,3
TDW,78.47000122070312,60.189199981689455,0.9099056603773584,0.9099056603773584,0.9099056603773584,0.959119496855346,0.9748427672955976,0.8584905660377359,0.8616352201257862,1.858982479271423,7.53612,78.91,1,0.9099056603773584,3
SII,156.02999877929688,115.00319976806641,0.9069182389937108,0.9069182389937108,0.9069182389937108,0.9905660377358492,0.9119496855345912,0.8805031446540881,0.9025157232704404,1.967253917899472,5.45909,151.84,1,0.9069182389937108,3
UCTT,69.72000122070312,40.20420001983643,0.9044603257572975,0.9321681807149544,0.9448571428571428,0.8060272089128382,0.9420832797897747,0.9508601477138667,0.8066370261986958,1.7391285155391556,10.23303325,67.11,1,0.9044603257572975,3
SANM,160.77499389648438,155.83389892578126,0.901937904207139,0.9018211920529802,0.9157068062827224,0.893621382258392,0.9467681425748067,0.8411709520672455,0.9339854142829075,0.5579231099819886,8.377880466666666,160.25836666666666,1,0.901937904207139,3
TRI,90.22000122070312,114.15039001464844,0.9343717194932478,0.93841059602649,0.9442857142857144,0.7102441134562074,0.9811446997577852,0.9871617290860729,0.8722002902613838,2.375269928008885,10.889597333333334,89.664,1,0.9343717194932478,2
WGS,84.37000274658203,112.6352001953125,0.9301886792452828,0.9301886792452828,0.9301886792452828,0.9685534591194968,0.9465408805031448,0.9528301886792452,0.8427672955974843,2.618719580302946,6.1174803,87.08,1,0.9301886792452828,2
