,price,ma50,avg_HotScore,median_HotScore,max_HotScore,avg_TrendScore,avg_MomentumScore,avg_VolumeScore,avg_VolatilityScore,avg_VolumeSpike,avg_regularMarketChangePercent,avg_regularMarketPrice,appearances,avg_HotScore_persistent,rule_score
CELC,144.97999572753906,115.594599609375,0.9822234383505076,0.981875,0.9838983050847456,0.9552598525943029,0.9931241436267059,0.9837519786524517,0.9739540514668619,4.055422381940121,16.079049666666666,145.85333333333332,1,0.9822234383505076,4
AXSM,223.6999969482422,172.5068002319336,0.9741514631079076,0.9741666666666666,0.9772425249169434,0.9695059156233773,0.976053221840569,0.9749928831077824,0.9716736740682346,3.1316200499439333,9.507901,226.16666666666666,1,0.9741514631079076,4
MIRM,105.79000091552734,93.8415998840332,0.9575539671590617,0.9560734463276837,0.9609634551495017,0.9325832441766617,0.982481808910662,0.9534236944022124,0.9336435829094482,1.9878655772061677,11.017302833333332,107.165,1,0.9575539671590617,4
NICE,124.19000244140625,111.9836003112793,0.9340646370228555,0.93,0.9435215946843856,0.9483839962210084,0.9759345026934699,0.887401927661092,0.9352924338832893,1.367430720458022,9.902567,124.08,1,0.9340646370228555,4
ICHR,69.72000122070312,53.32320022583008,0.9340395480225988,0.9340395480225988,0.9340395480225988,0.8954802259887006,0.963276836158192,0.9491525423728814,0.8757062146892656,2.390012762197716,8.227263,69.72,1,0.9340395480225988,4
CRCL,119.52999877929688,101.4271996307373,0.9262478883946169,0.9245833333333332,0.93156146179402,0.6017868091922093,0.9965620718133529,0.9233799294254555,0.9704475352090647,1.5990600882645885,18.885001333333335,118.52833333333335,1,0.9262478883946169,3
GBTG,9.34000015258789,5.696800022125244,0.9160432190876614,0.9161016949152542,0.9166112956810633,0.5603187898467756,1.0,1.0,0.800056700514919,42.73337672990923,57.363683,9.331666666666665,1,0.9160432190876614,3
KRYS,286.95001220703125,262.32779876708986,0.9084034855566191,0.8875,0.9584745762711864,0.9841992479556531,0.8468480770313643,0.9240339796409959,0.9508742046286391,1.6642852884007677,5.497916766666666,280.6666666666667,1,0.9084034855566191,3
NBIS,176.4199981689453,123.21590087890625,0.9049994760090345,0.9059800664451828,0.9095833333333334,0.6625876707272056,0.9896862154400585,0.8496717626743248,0.9748270829813991,1.226797389397545,13.303983,175.04333333333332,1,0.9049994760090345,3
ORKA,66.45999908447266,50.43579998016357,0.9001412429378532,0.9001412429378532,0.9001412429378532,0.8813559322033898,0.9378531073446328,0.9011299435028248,0.8418079096045198,1.8827466367713004,6.2000594,66.46,1,0.9001412429378532,3
