,price,ma50,avg_HotScore,median_HotScore,max_HotScore,avg_TrendScore,avg_MomentumScore,avg_VolumeScore,avg_VolatilityScore,avg_VolumeSpike,avg_regularMarketChangePercent,avg_regularMarketPrice,appearances,avg_HotScore_persistent,rule_score
MRNA,157.49000549316406,71.54010040283202,0.9467877473570072,0.9467877473570072,0.9521008403361344,0.6167660612632149,0.9888858769314177,0.9800759013282732,0.9798725941989699,2.309434432184746,13.342484,157.40425,1,0.9467877473570072,4
GENB,20.174999237060547,15.08309995651245,0.9169829222011386,0.9169829222011386,0.923041474654378,0.7535239902412578,0.9913933315261588,0.9867850365952833,0.7463404716725399,3.6990320179589737,15.110050000000001,20.3975,1,0.9169829222011386,4
CDLR,25.940000534057617,22.737199897766114,0.8971909731634589,0.8971909731634589,0.905672268907563,0.9668609379235565,0.9400243968555164,0.962862564380591,0.6724722146923285,1.1650667927651022,7.7597023499999995,25.83,1,0.8971909731634589,4
FUTU,124.56999969482422,102.5879997253418,0.8814211168338304,0.8814211168338304,0.8863445378151261,0.8525345622119815,0.9404310111141231,0.8019788560585525,0.9316210355109786,0.6022363727917419,7.6590989,124.68,1,0.8814211168338304,4
BNS,92.48999786376953,87.48242645263672,0.8602195716996477,0.8602195716996477,0.8768907563025211,0.8040796963946869,0.8670371374356194,0.865546218487395,0.8670371374356194,0.7560366448620113,5.79668415,91.89500000000001,1,0.8602195716996477,3
NGL,17.389999389648438,16.13099992752075,0.8573529411764705,0.8573529411764705,0.8573529411764705,0.8781512605042017,0.9159663865546218,0.9705882352941176,0.5462184873949579,1.6616857758637016,6.6422925,17.42,1,0.8573529411764705,3
CRSP,60.3650016784668,53.1168000793457,0.8401023312550826,0.8401023312550826,0.844700460829493,0.8084846841962592,0.878964489021415,0.8294253185145026,0.806587150989428,0.6470984657515343,6.01536635,60.5075,1,0.8401023312550826,3
STDN,14.329999923706055,0.0,0.8306993765248034,0.8306993765248034,0.8584033613445378,0.6299810246679317,1.0,0.7703984819734345,0.7403090268365411,0.585764689440093,20.806417500000002,14.42,1,0.8306993765248034,3
MAIR,27.3799991607666,33.697200050354006,0.8948969910544863,0.8948969910544863,0.8983193277310924,0.6255760368663594,0.9800759013282732,0.9735700731905665,0.7428164814312822,1.749634703280062,9.962959999999999,27.45775,1,0.8948969910544863,2
BE,215.85000610351562,240.44700103759766,0.8429520195174842,0.8429520195174842,0.8432773109243696,0.6610192464082407,0.8548387096774193,0.8223095689888859,0.9492409867172675,0.6338081495762611,5.7653645000000004,215.78250000000003,1,0.8429520195174842,1
