,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
RGC,31.334999084472656,22.322099990844727,2.630100075675649,13.355256727773316,75.69854768895019,28,329.0,0.8513266637518407,6
SNDK,518.0001220703125,292.1866018676758,2.506949009112417,12.630918653863835,73.37841341461132,26,288.0,0.8242536653573853,6
RKLB,88.07499694824219,66.00420043945313,0.8822336836378952,8.937527791293777,40.50578191887252,27,365.0,0.758954328941358,6
MU,430.6600036621094,287.8477236938477,2.27094583979641,8.426205641665728,40.10106613748349,28,311.0,0.7994761126239167,6
BE,164.57000732421875,111.11620040893554,1.8163881653092901,7.904876618747124,10.022235457381464,22,269.0,0.7895806800220315,6
VERA,44.95000076293945,43.838899803161624,0.44676304603347494,7.578142674295977,12.17252398700518,16,248.0,0.8238586891884206,6
ASTS,120.34559631347656,79.51311164855957,1.0883689430209136,7.3988430529214035,38.14404128713908,28,380.0,0.7708457378253244,6
LITE,384.3999938964844,336.8345986938477,0.3586286342419424,3.063195256460986,7.47527537018066,22,287.0,0.7962773717396933,6
CRWV,105.01000213623047,81.78580062866212,0.4857769857193616,1.2411963479705712,13.293743258016352,30,254.0,0.7320179661148405,6
UUUU,26.485000610351562,17.051700019836424,1.0495529044914178,10.878681328308499,71.76581732517081,8,0.0,0.0,4
ALM,11.984999656677246,8.225900039672851,1.5558708715751186,9.573930133469421,16.216566231906075,12,0.0,0.0,4
MCHP,81.08499908447266,65.3682551574707,3.5885494102350206,7.577075062333718,6.069686376450652,5,0.0,0.0,4
STX,441.989990234375,294.2006231689453,1.9613292875891974,5.17528958098349,15.739191341499044,9,0.0,0.0,4
WDC,275.8900146484375,186.41825317382813,1.6007617983285491,5.085753437266605,32.87670650287242,11,0.0,0.0,4
HMY,25.229999542236328,20.34479995727539,0.45236955076723706,2.2807640069240818,6.270354253503784,5,0.0,0.0,4
EDU,58.86000061035156,54.74599983215332,0.4175367740833963,2.1180447318620956,6.102049052823954,5,0.0,0.0,4
GFI,60.060001373291016,45.35979995727539,-0.9216543752002259,2.0990836011498493,10.178194650627674,7,0.0,0.0,4
INTC,48.66999816894531,40.50960006713867,0.17472531026699545,1.6044147849073622,8.262621348179719,24,0.0,0.0,4
LRN,86.41999816894531,66.55299980163574,-0.6902266622395681,1.1707468400068366,7.530795232269982,3,0.0,0.0,4
GKOS,125.40499877929688,110.58510025024414,2.133650912199818,1.0515621802927995,-6.533610339594431,6,0.0,0.0,4
SII,138.94000244140625,101.27539993286133,0.8171760937852302,1.035385025433729,28.928239775786135,6,0.0,0.0,4
LUNR,22.799999237060547,14.491500015258788,-2.071449999876902,0.7116215692168818,,9,0.0,0.0,4
TXN,214.75,179.0060009765625,-0.16549592245933184,0.02098498202422287,-1.8959800097618162,4,0.0,0.0,4
WIX,93.43000030517578,98.86280014038086,2.2960730437937134,4.418220050068328,-16.196942105684816,7,0.0,0.0,2
SANM,152.97999572753906,158.69280029296874,0.9165520916544434,1.8828180693408494,10.76091664319349,5,0.0,0.0,2
NN,15.229999542236328,15.256800060272218,-0.6593107109314008,0.178766534547829,-8.493479198959474,7,0.0,0.0,2
AVT,58.540000915527344,49.005647354125976,,0.0,,1,0.0,0.0,2
MSCI,605.5999755859375,569.805595703125,,0.0,,1,0.0,0.0,2
PPG,113.36000061035156,103.66420028686524,,0.0,,1,0.0,0.0,2
FFIV,293.4100036621094,255.42880157470702,0.7748180975056335,-0.40721139147386065,4.390970693705087,5,0.0,0.0,2
MSTR,158.96499633789062,170.66910095214843,0.012227919720058015,-0.8957431739998409,-3.8751560848097037,26,274.0,0.7324699569735276,2
FUTU,170.44000244140625,169.4571011352539,-0.21072677621459535,-1.061742287588738,5.94019397514014,5,0.0,0.0,2
LFUS,315.1650085449219,265.2001251220703,1.184483026180505,-1.1742620261387504,,2,0.0,0.0,2
OKLO,91.71549987792969,90.46410934448242,0.019107162035199663,-2.0700965536207203,-16.837175432813527,10,0.0,0.0,2
APLS,23.084999084472656,22.92680004119873,-0.1669446911839928,-3.795586784098734,-2.0748709177079014,5,0.0,0.0,2
NXT,116.91000366210938,92.43570007324219,-0.0528717267151683,-4.311151572047952,14.588704317058976,4,0.0,0.0,2
AAOI,44.869998931884766,31.81130001068115,-0.31114246949092894,-10.595524706341353,-5.102457818337284,10,0.0,0.0,2
EXTR,15.25,16.633999977111817,,0.0,,1,0.0,0.0,0
UNH,294.1600036621094,330.0551458740234,-0.004580024492789603,-3.859899755066428,-1.4741927152494894,5,0.0,0.0,0
ELV,342.05499267578125,348.03667053222654,0.06317480244681373,-4.727508959230187,3.664034281079742,3,0.0,0.0,0
