,price,ma50,avgvol,mean_ret_fwd_1d,appearances,appearances_persistent,avg_HotScore,mean_ret_fwd_5d,rule_score
AS,33.22999954223633,33.02759990692139,5015284.2,8.029906680674559,2.0,9.0,0.7721370366947451,0,4
GOOG,285.3900146484375,259.773200378418,21724149.15,-0.05556421668719835,2.0,8.0,0.7958304673357364,0,4
GOOGL,284.8699951171875,259.1651998901367,33822573.85,-0.0427965632121996,2.0,9.0,0.766567900475423,0,4
JAZZ,176.07000732421875,135.826201171875,1096820.35,3.662773308520717,2.0,8.0,0.9659979023401543,0,4
LNW,87.0,81.90900024414063,4060665.2,,2.0,9.0,0.8662725898077492,0,4
MTSR,70.5,53.46820014953613,4779945.55,,,9.0,0.6931973649852385,0,4
SNDK,241.0850067138672,155.47570098876952,12011279.7,-9.239131183344663,3.0,9.0,0.8417541617732832,0,4
TERN,26.815000534057617,10.869099988937378,5154322.15,4.577465182864815,3.0,10.0,0.8854972446964376,0,4
DGNX,14.595000267028809,16.486099967956545,909922.1,7.35835164659342,2.0,9.0,0.9159959535667362,0,2
GT,7.679999828338623,7.560599994659424,8130787.0,,1.0,0.0,0.0,0,2
MDT,100.29499816894531,94.45727615356445,6567953.55,4.170128209963986,2.0,0.0,0.0,0,2
QUBT,12.024999618530273,17.189299926757812,35484084.2,4.521743110988452,2.0,9.0,0.7602897516948788,0,2
SRRK,38.7400016784668,32.689700279235836,1998930.4,6.059772444477174,2.0,0.0,0.0,0,2
XP,18.829999923706055,18.098500022888185,6022854.0,,1.0,0.0,0.0,0,2
AXTA,28.145000457763672,28.745300064086916,4165390.75,,1.0,0.0,0.0,0,0
BMNR,32.970001220703125,49.69199989318847,35190412.5,,1.0,0.0,0.0,0,0
FCX,40.665000915527344,41.33102767944336,13955115.4,,1.0,0.0,0.0,0,0
FI,62.70000076293945,110.13559967041016,17311668.1,,,0.0,0.0,0,0
JHX,17.815000534057617,19.920100059509277,6485740.15,,1.0,0.0,0.0,0,0
ONDS,6.823699951171875,7.456174011230469,93324863.3,9.032774530507904,2.0,0.0,0.0,0,0
PDD,120.6500015258789,131.77239974975586,6811508.65,,1.0,0.0,0.0,0,0
WULF,11.770000457763672,12.74160005569458,47275023.55,,1.0,0.0,0.0,0,0
