,price,ma50,avg_HotScore,median_HotScore,max_HotScore,avg_TrendScore,avg_MomentumScore,avg_VolumeScore,avg_VolatilityScore,avg_VolumeSpike,avg_regularMarketChangePercent,avg_regularMarketPrice,appearances,avg_HotScore_persistent,rule_score
CVLT,88.87000274658203,83.6520002746582,0.9517252832024032,0.944776119402985,0.9681208053691276,0.908220992473918,0.9650219263471274,0.9909433569664481,0.881576673976301,3.7812675544750656,9.4625974,88.23780000000001,1,0.9517252832024032,4
ALAB,149.0500030517578,129.4065007019043,0.9489707564270825,0.9497725252066662,0.9563106796116504,0.8155744704379225,0.9948334432582255,0.9263955857127958,0.9749157462171644,1.6463407330803455,14.873100166666667,148.71835000000002,1,0.9489707564270825,4
AAOI,150.60000610351562,81.21280021667481,0.9480503841042242,0.9495024875621889,0.95311004784689,0.7677091132470796,0.9868316110995293,0.951017625396187,0.9651612000300768,1.9366219760180174,13.06454,150.71083333333334,1,0.9480503841042242,4
CRWV,102.0,85.68559997558594,0.9253078318952564,0.9245945721795493,0.9286069651741292,0.5339253509160566,0.9812545877537467,0.983723525139363,0.9208647864553128,2.5830269361442664,11.837843,102.89081666666668,1,0.9253078318952564,4
CLS,351.30999755859375,285.8695999145508,0.9148094574035307,0.916312150632539,0.9246644295302012,0.9415005235058724,0.9378828193964553,0.8439241715757291,0.9851347910633946,1.048131123912714,7.1427302,351.77935,1,0.9148094574035307,3
FN,662.1300048828125,530.3261999511719,0.9070537231135828,0.9173982852188431,0.9381877022653722,0.9904325954518379,0.9166159275258008,0.820556825526768,1.0,0.993302988505747,6.911722183333333,660.9941666666667,1,0.9070537231135828,3
TTMI,121.48999786376953,99.24800033569336,0.896176709190938,0.8972606291047356,0.9095637583892616,0.8836417223383974,0.9850533858658318,0.7827544880701867,0.9453989053974587,0.8834611847757721,12.7431265,121.23483333333333,1,0.896176709190938,3
MRVL,128.49000549316406,88.350400390625,0.8955085518615177,0.9007113358924446,0.9093851132686084,0.6371749704740007,0.9399550987650547,0.9249337893531657,0.8953997198637024,1.6541521718852816,7.367568816666666,128.68,1,0.8955085518615177,3
CRDO,119.58999633789062,111.93960021972656,0.8913663842442864,0.8918223479915857,0.8966666666666667,0.7745512237909077,0.9782041230875546,0.8113458805799753,0.9378438029078017,0.9213288472367186,11.51365025,120.35668333333332,1,0.8913663842442864,3
TPL,409.9700012207031,468.02827087402346,0.9586639190236346,0.9599372047470904,0.9686084142394824,0.9847266643842815,0.9441822261973666,0.9445751289465977,0.9956308914240948,1.8494496855345914,7.626048999999999,406.79418333333336,1,0.9586639190236346,2
