symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
ESLT,545.5,4.286148,168400.0,101709.0,25322878976.0,1.655704018326795,0.91,0.955,0.995,0.995,0.95125
BLTE,156.5,4.9419937,228472.0,148501.0,5871040000.0,1.5385216261169958,0.94,0.945,0.935,0.98,0.94475
TTC,78.865,8.554709,1067051.0,709458.0,7782813696.0,1.5040368844949243,0.985,0.93,0.91,0.92,0.94425
VIA,33.175,9.923786,681806.0,297219.0,2814467328.0,2.2939515979799405,0.99,0.97,0.82,0.925,0.9425
TPL,872.2,6.2764273,121605.0,134558.0,20042643456.0,0.9037366786069948,0.98,0.855,1.0,1.0,0.9422499999999999
HUT,41.2858,12.026296,17382471.0,7443898.0,4460379136.0,2.3351301965717424,0.995,0.975,0.855,0.67,0.9275
TWO-PA,24.5,5.6034446,330567.0,10225.0,3177356032.0,32.32929095354523,0.965,1.0,0.6975,0.985,0.9257500000000001
TWO-PB,24.163,5.6536913,292679.0,9832.0,3270534400.0,29.76800244100895,0.97,0.995,0.69,0.99,0.92475
ABM,47.68,4.241361,932415.0,514550.0,2968462592.0,1.8120979496647556,0.905,0.965,0.775,0.915,0.901
SQM,67.16,4.659507,1668336.0,1525515.0,19183437824.0,1.0936214983136843,0.93,0.9,0.815,0.885,0.8920000000000001
MSI,377.31,3.7050302,1074306.0,1206117.0,62861312000.0,0.8907145824161338,0.865,0.845,0.975,0.96,0.8894999999999998
NTNX,50.71,5.054897,4733075.0,4051073.0,13711980544.0,1.1683509529450593,0.945,0.91,0.805,0.77,0.8872500000000001
PI,166.6,3.4718413,452868.0,563304.0,5016181760.0,0.8039495547697159,0.825,0.815,0.89,0.955,0.8474999999999999
AMR,194.35,4.125375,184912.0,284512.0,2537010688.0,0.6499268923630638,0.895,0.69,0.94,0.975,0.84025
AUGO,48.245,3.6412454,478939.0,533042.0,4030121984.0,0.898501431406906,0.85,0.85,0.74,0.91,0.834
BRZE,35.51,4.6258097,1337363.0,1886315.0,3984772096.0,0.7089817978439444,0.92,0.745,0.725,0.82,0.80975
SAIC,103.47,3.1091208,433385.0,580228.0,4761896448.0,0.7469218996670275,0.785,0.78,0.83,0.945,0.80825
VICR,98.335,5.227397,237996.0,438952.0,4417135616.0,0.5421914013377317,0.955,0.55,0.87,0.95,0.7957500000000001
FULT,20.575,3.3400347,2500774.0,1632909.0,3715816704.0,1.5314839957401178,0.805,0.94,0.5375,0.775,0.79575
HUBS,384.335,3.7761536,489147.0,884782.0,20251807744.0,0.5528446555196648,0.87,0.56,0.98,0.965,0.7929999999999999
ENVA,164.135,3.6598449,155542.0,264406.0,4066836736.0,0.5882695551538165,0.86,0.605,0.9,0.97,0.7897500000000001
RXRX,4.9738,18.423819,47105695.0,43003893.0,2592656896.0,1.0953821087779192,1.0,0.905,0.565,0.065,0.7862499999999999
GIS,48.065,2.2224545,10183250.0,6093376.0,25699674112.0,1.671200004726444,0.715,0.96,0.625,0.72,0.7832499999999999
ALB,136.24,3.9444556,1826731.0,3559200.0,16035112960.0,0.5132420206788042,0.885,0.51,0.875,0.87,0.75025
MESO,18.95,3.6055713,159734.0,237123.0,2439731968.0,0.6736335150955411,0.845,0.71,0.53,0.905,0.7407499999999999
TWST,32.895,5.669776,830682.0,1698239.0,2011464320.0,0.4891431653612949,0.975,0.46,0.765,0.835,0.73875
TXRH,171.155,3.2360249,573184.0,1075250.0,11373353984.0,0.5330704487328528,0.79,0.545,0.88,0.94,0.73725
RDDT,232.76,3.9107118,2541567.0,5401860.0,44107030528.0,0.4704984949628461,0.88,0.415,0.955,0.88,0.73225
DVN,36.315,3.4910188,5100488.0,7904539.0,23052761088.0,0.6452606534043288,0.835,0.685,0.665,0.65,0.73
WIX,106.73,4.688579,675254.0,1635836.0,5943391232.0,0.412788323523874,0.935,0.32,0.865,0.9,0.7022499999999999
PG,147.665,1.6906456,5344802.0,9025330.0,345607766016.0,0.5922001743980553,0.69,0.62,0.81,0.805,0.7010000000000001
BSX,94.69,1.8719802,6164065.0,9743811.0,140372443136.0,0.6326133583666597,0.705,0.655,0.755,0.74,0.701
OS,18.58,5.4483485,870277.0,1776434.0,4543331328.0,0.4899011165064393,0.96,0.47,0.62,0.755,0.7
COP,93.81,3.3491254,3429493.0,6838173.0,117163278336.0,0.5015218246160195,0.81,0.49,0.825,0.795,0.6995
IMVT,27.485,3.2882373,1034653.0,1806739.0,5537582592.0,0.5726632347007509,0.8,0.59,0.595,0.8,0.6855
OXY,40.05,2.9033945,6495805.0,10379912.0,39457677312.0,0.6258054018184355,0.76,0.65,0.635,0.6,0.6804999999999999
NFLX,95.705,1.200235,31963035.0,42824171.0,405533032448.0,0.7463783712240454,0.65,0.775,0.64,0.51,0.67775
VICI,28.165,1.0947605,17058816.0,11141630.0,30103074816.0,1.5310880005887828,0.64,0.935,0.345,0.53,0.67325
MRNA,30.7,2.7099411,6855309.0,10680106.0,11995523072.0,0.6418764944842308,0.75,0.68,0.575,0.55,0.6705
AORT,47.68,3.8553703,158157.0,383219.0,2258837248.0,0.41270657248205334,0.875,0.315,0.77,0.935,0.664
NYT,69.325,3.0089061,807802.0,1747807.0,11287413760.0,0.4621803208248966,0.775,0.41,0.79,0.875,0.66025
CMCSA,30.095,1.2277154,30578595.0,32878441.0,111116951552.0,0.9300500288319632,0.66,0.865,0.385,0.37,0.6477499999999999
SEE,41.26,-0.983921,9703184.0,2430447.0,6070358016.0,3.992345440982667,0.39,0.985,0.4175,0.81,0.64575
CMG,36.925,3.5473902,11044497.0,22504165.0,49512177664.0,0.49077568530092097,0.84,0.475,0.685,0.46,0.64325
CDE,17.345,2.6939013,12068755.0,17401966.0,11139268608.0,0.6935282484749137,0.745,0.725,0.45,0.38,0.6425
ROIV,23.225,1.2423707,6512947.0,8170011.0,16152792064.0,0.7971772620624379,0.665,0.81,0.3325,0.545,0.63725
ASAN,14.8,3.64146,1950902.0,3882555.0,3509080064.0,0.5024789088628493,0.855,0.495,0.48,0.595,0.6279999999999999
MLYS,37.485,4.011102,558103.0,1468311.0,2966561024.0,0.38009863033104024,0.89,0.24,0.715,0.86,0.6244999999999999
BCS,24.485,0.9274542,5419571.0,6211450.0,84847484928.0,0.8725130203092676,0.61,0.835,0.28,0.605,0.62225
LB,52.18,3.4291368,167018.0,436596.0,4152960000.0,0.38254587765348286,0.815,0.255,0.75,0.93,0.6174999999999999
