symbol,regularMarketPrice,regularMarketChangePercent,regularMarketVolume,averageDailyVolume3Month,marketCap,VolumeSpike,MomentumScore,VolumeScore,VolatilityScore,TrendScore,HotScore
VICR,140.6134,20.326376,1433204.0,477159.0,6316250624.0,3.0036193386271663,0.9973404255319149,0.9893617021276596,0.9707446808510638,0.8909574468085106,0.9785904255319149
MELI,2179.53,10.42864,669440.0,524646.0,110496038912.0,1.2759841874330502,0.9547872340425532,0.9228723404255319,1.0,0.9946808510638298,0.9566489361702126
AVAV,293.99,14.754669,1240908.0,1009429.0,14679569408.0,1.2293167721553473,0.9867021276595744,0.9175531914893617,0.9893617021276596,0.8882978723404256,0.9531914893617022
RGC,28.4357,38.440594,1532924.0,221072.0,14061137920.0,6.934048635738583,1.0,0.9973404255319149,0.8271276595744681,0.8191489361702128,0.9464095744680852
VLO,180.76,9.346076,5118580.0,2524035.0,56153407488.0,2.027935428787636,0.9414893617021277,0.976063829787234,0.9388297872340425,0.7632978723404256,0.9352393617021276
WFRD,90.995,12.492278,1454879.0,850658.0,6536626176.0,1.7102983807828762,0.976063829787234,0.9601063829787234,0.8829787234042553,0.8085106382978723,0.9351063829787234
NVMI,378.63,9.008468,314050.0,317438.0,11227312128.0,0.9893270496915934,0.9308510638297872,0.8856382978723404,0.9787234042553191,0.9680851063829787,0.9283244680851064
CPA,130.995,7.522772,456778.0,244459.0,5388883456.0,1.8685260104966477,0.8882978723404256,0.9707446808510638,0.8670212765957447,0.925531914893617,0.9166223404255318
FIGR,50.1,14.540459,3081966.0,2208846.0,10721076224.0,1.3952833289419,0.9840425531914894,0.9281914893617021,0.7925531914893617,0.6170212765957447,0.8894946808510639
HYMC,28.8295,18.15704,4456573.0,2663622.0,2393580288.0,1.6731251656578898,0.9920212765957447,0.9547872340425532,0.7287234042553191,0.5372340425531915,0.8808510638297873
FTAI,223.93,6.4559,1346182.0,1072240.0,22969155584.0,1.2554857121539953,0.7952127659574468,0.9202127659574468,0.9175531914893617,0.8670212765957447,0.8706117021276596
URI,903.85,6.9569,474906.0,602927.0,58154815488.0,0.7876674954015992,0.8457446808510638,0.7925531914893617,0.9920212765957447,0.973404255319149,0.8691489361702128
SLB,44.67,11.118013,31875679.0,15194124.0,66733563904.0,2.0978951468343947,0.9654255319148937,0.9787234042553191,0.7313829787234043,0.3271276595744681,0.8594414893617022
QXO,23.64,19.878296,13002895.0,7121838.0,15942628352.0,1.825777980347208,0.9946808510638298,0.9680851063829787,0.6861702127659575,0.35106382978723405,0.8593085106382978
CRNX,50.515,8.099722,2008483.0,1302179.0,4793461248.0,1.5424016206681264,0.9122340425531915,0.9414893617021277,0.675531914893617,0.699468085106383,0.8538563829787233
COIN,253.65,7.2379804,7426538.0,9186006.0,68398649344.0,0.8084621325089489,0.875,0.8085106382978723,0.9521276595744681,0.6462765957446809,0.8442819148936169
PSX,139.33,6.70904,2207844.0,2241512.0,56306634752.0,0.9849797815046273,0.824468085106383,0.8803191489361702,0.8590425531914894,0.7526595744680851,0.8437500000000001
HAL,32.8899,11.114527,24440617.0,11329240.0,28041998336.0,2.1573041969275963,0.9627659574468085,0.9813829787234043,0.6436170212765957,0.324468085106383,0.8416223404255319
AMKR,46.81,9.063381,4175142.0,3397654.0,11571125248.0,1.2288308344522427,0.9361702127659575,0.9148936170212766,0.6835106382978723,0.5558510638297872,0.8401595744680851
ASML,1224.04,5.177955,2264109.0,1429629.0,475108311040.0,1.583703884014664,0.6117021276595744,0.9468085106382979,0.9946808510638298,0.9521276595744681,0.839627659574468
SE,142.175,8.1248,3686148.0,4777282.0,84170432512.0,0.7715994157347211,0.9148936170212766,0.7792553191489362,0.898936170212766,0.6569148936170213,0.8384308510638298
OKLO,88.21,13.380458,11501018.0,14952996.0,13782553600.0,0.7691447252443591,0.9813829787234043,0.773936170212766,0.8936170212765957,0.43351063829787234,0.836436170212766
ONTO,177.53,7.029604,650060.0,882298.0,8814885888.0,0.7367805435351774,0.8563829787234043,0.7526595744680851,0.9069148936170213,0.8617021276595744,0.830718085106383
KTOS,87.94,10.909322,2161583.0,3072330.0,14847851520.0,0.7035647212376275,0.9601063829787234,0.723404255319149,0.8563829787234043,0.651595744680851,0.8256648936170212
VSEC,191.53,5.6309237,271249.0,244650.0,4480316416.0,1.108722665031678,0.6808510638297872,0.898936170212766,0.8882978723404256,0.949468085106383,0.825531914893617
CAMT,123.455,6.8874474,358817.0,458882.0,5650073088.0,0.7819374043871845,0.8404255319148937,0.7898936170212766,0.8297872340425532,0.8829787234042553,0.8248670212765957
KLAC,1358.06,6.5588117,657127.0,997369.0,178835505152.0,0.6588604618751936,0.8031914893617021,0.6888297872340425,0.9973404255319149,0.9707446808510638,0.8187500000000001
SMR,18.739,14.89271,42459473.0,24360701.0,5300204032.0,1.7429495563366588,0.9893617021276596,0.9654255319148937,0.5797872340425532,0.1622340425531915,0.8163563829787234
AFRM,80.54,8.7937355,4103542.0,5299503.0,26584131584.0,0.7743258188550889,0.9228723404255319,0.7845744680851063,0.8031914893617021,0.5664893617021277,0.8148936170212766
EMR,144.09,6.089829,2211939.0,2452259.0,81022107648.0,0.9020005635620055,0.7553191489361702,0.8590425531914894,0.8430851063829787,0.7420212765957447,0.807845744680851
UPST,50.35,9.838565,4600601.0,5936401.0,4898374144.0,0.7749815081562044,0.9441489361702128,0.7872340425531915,0.7367021276595744,0.5026595744680851,0.8035904255319148
CVX,164.33,5.4073176,22538291.0,7748212.0,331095769088.0,2.9088376776474365,0.6462765957446809,0.9867021276595744,0.851063829787234,0.601063829787234,0.8018617021276595
