symbol,HotScore,MomentumScore,VolumeScore,VolumeSpike,VolatilityScore,TrendScore,cluster,watch_label,final_signal,knn_uniqueness,knn_signal,final_rank
INFQ,0.8189223057644109,0.9523809523809524,0.9949874686716792,8.243697126673583,0.531328320802005,0.3107769423558897,2,❌ IGNORE,IGNORE,0.9727802813264758,RARE,0.9115986627815859
INFQ,0.7805637982195845,0.8902077151335311,0.9940652818991098,7.458897579937103,0.4421364985163205,0.3264094955489614,2,❌ IGNORE,IGNORE,1.0,RARE,0.889080118694362
RGTI,0.8639097744360902,0.9974937343358397,0.9924812030075189,6.503532526289582,0.7443609022556391,0.1854636591478696,2,❌ IGNORE,IGNORE,0.6433029543255718,INTERESTING,0.8722194881082221
INFQ,0.8354575163398693,0.977124183006536,0.9934640522875816,6.294190419699625,0.565359477124183,0.326797385620915,2,❌ IGNORE,IGNORE,0.5567782396683589,INTERESTING,0.8396563015284431
RGTI,0.860979228486647,0.9940652818991098,0.9910979228486648,5.391688543239834,0.7299703264094956,0.201780415430267,2,❌ IGNORE,IGNORE,0.44922050022454796,INTERESTING,0.8312684323891234
UTI,0.8917293233082705,0.9398496240601504,0.9849624060150376,4.399896532385798,0.6917293233082706,0.7969924812030075,2,❌ IGNORE,IGNORE,0.4445661430511153,INTERESTING,0.8305673639485689
NTAP,0.9482456140350878,0.9724310776942356,0.9598997493734336,2.893415061234853,0.9573934837092732,0.8045112781954887,0,⚠️ OVERHEATED,IGNORE,0.2516593216128411,CROWDED,0.8160962753501372
RGTI,0.8616013071895425,1.0,0.9901960784313726,4.6166949380649225,0.7189542483660131,0.2124183006535947,2,❌ IGNORE,IGNORE,0.3487105639053835,CROWDED,0.8124218513431682
QBTS,0.8494987468671679,0.9799498746867168,0.987468671679198,4.740107206519701,0.7017543859649122,0.2055137844611528,2,❌ IGNORE,IGNORE,0.34002960919765574,CROWDED,0.8012891298595813
LION,0.8454887218045113,0.987468671679198,0.9699248120300752,3.2772848329368625,0.5789473684210527,0.4461152882205513,2,❌ IGNORE,IGNORE,0.30903852795427117,CROWDED,0.7914818910545135
QBTS,0.8555555555555555,0.9869281045751634,0.9869281045751634,3.4584293264801915,0.7026143790849673,0.2418300653594771,2,❌ IGNORE,IGNORE,0.26977724564869054,CROWDED,0.7909489131820256
BB,0.7951038575667655,0.9970326409495548,0.9762611275964392,3.049234631541782,0.4599406528189911,0.1246290801186943,2,❌ IGNORE,IGNORE,0.3800018799608201,CROWDED,0.7887006727280691
BB,0.7892156862745098,0.9934640522875816,0.9738562091503268,2.227220640575664,0.434640522875817,0.1372549019607843,2,❌ IGNORE,IGNORE,0.3949442441588266,CROWDED,0.7881391756291509
QBTS,0.8402077151335311,0.9703264094955488,0.9851632047477744,4.219042371623667,0.6646884272997032,0.228486646884273,2,❌ IGNORE,IGNORE,0.2882768262772647,CROWDED,0.78483637415753
UTI,0.9086053412462908,0.9673590504451038,0.973293768545994,2.925401878937095,0.7537091988130564,0.7863501483679525,0,❌ IGNORE,IGNORE,0.15746387869947442,CROWDED,0.7830654760366308
DELL,0.9391691394658754,0.9910979228486648,0.9080118694362018,1.5861161101569583,1.0,0.744807121661721,0,⚠️ OVERHEATED,IGNORE,0.13165833176597186,CROWDED,0.781821280596518
NTAP,0.93946587537092,0.973293768545994,0.9317507418397626,2.0041041354574096,0.9643916913946587,0.798219584569733,0,⚠️ OVERHEATED,IGNORE,0.11201847951286675,CROWDED,0.7791989481280928
DELL,0.9364661654135338,0.9924812030075189,0.899749373433584,1.8760271633202288,0.9974937343358397,0.7468671679197995,0,⚠️ OVERHEATED,IGNORE,0.12401720329969697,CROWDED,0.7778360221135735
DELL,0.9325163398692812,0.9901960784313726,0.9019607843137256,1.3465592044405057,0.9934640522875816,0.7156862745098039,0,⚠️ OVERHEATED,IGNORE,0.11989465500789591,CROWDED,0.7754168394983114
LION,0.8313056379821958,0.9792284866468842,0.9584569732937686,2.469582391383097,0.5459940652818991,0.4391691394658754,1,❌ IGNORE,IGNORE,0.27310366098670685,CROWDED,0.7746800793783504
IMAX,0.902941176470588,0.9803921568627452,0.9673202614379084,2.0625032669033936,0.7516339869281046,0.7091503267973857,0,❌ IGNORE,IGNORE,0.11278341810456928,CROWDED,0.7732756378692798
QUBT,0.7985294117647058,0.9705882352941176,0.9803921568627452,2.950024108154818,0.4803921568627451,0.196078431372549,2,❌ IGNORE,IGNORE,0.31482902017709186,CROWDED,0.7725736471726734
ATKR,0.9221804511278195,0.9548872180451128,0.9273182957393484,2.1048065705902457,0.8646616541353384,0.9047619047619048,0,⚠️ OVERHEATED,IGNORE,0.13264079519940564,CROWDED,0.7718414422479013
IMAX,0.9083086053412462,0.9851632047477744,0.9554896142433236,2.378586188752095,0.7774480712166172,0.7359050445103857,0,❌ IGNORE,IGNORE,0.10005445230947259,CROWDED,0.7714648963966126
UTI,0.8848039215686274,0.9411764705882352,0.9705882352941176,2.171092539753156,0.6928104575163399,0.7712418300653595,0,❌ IGNORE,IGNORE,0.1706880284492917,CROWDED,0.77041211549378
TX,0.8233082706766917,0.7769423558897243,0.9724310776942356,3.302646427450215,0.6040100250626567,0.9022556390977444,1,👀 WATCH,WATCH,0.4513578242335941,INTERESTING,0.7694695598341875
INTU,0.863659147869674,0.7268170426065163,0.9674185463659148,3.1425572240405573,0.9398496240601504,0.8270676691729323,0,❌ IGNORE,IGNORE,0.41762139125407305,INTERESTING,0.7678350551931705
SPOT,0.9225490196078432,0.869281045751634,0.934640522875817,1.62090162146374,0.9901960784313726,0.931372549019608,0,⚠️ OVERHEATED,IGNORE,0.18799713051556427,CROWDED,0.7674033476717403
SPOT,0.9169172932330828,0.8521303258145363,0.9348370927318296,2.248003997286768,0.9924812030075189,0.9298245614035088,0,⚠️ OVERHEATED,IGNORE,0.21607516509007094,CROWDED,0.7673754340205204
VSH,0.8919799498746867,0.9674185463659148,0.9573934837092732,2.8414565474001976,0.7794486215538847,0.6240601503759399,0,❌ IGNORE,IGNORE,0.12365863187540095,CROWDED,0.7664861123399924
TX,0.8072700296735904,0.7507418397626113,0.9673590504451038,2.6404498672119603,0.56973293768546,0.9198813056379822,1,👀 WATCH,WATCH,0.49090447518646163,INTERESTING,0.7647090849482716
LION,0.7950980392156862,0.9477124183006536,0.9411764705882352,1.7143409911426204,0.4673202614379085,0.4052287581699346,1,❌ IGNORE,IGNORE,0.3390152102861889,CROWDED,0.7636200355212901
NTAP,0.9261437908496732,0.9575163398692812,0.931372549019608,1.5868473102818887,0.934640522875817,0.7810457516339869,0,⚠️ OVERHEATED,IGNORE,0.06559920132059083,CROWDED,0.7613551343817653
SPOT,0.9078635014836794,0.8308605341246291,0.9287833827893176,1.938531612503829,0.9881305637982196,0.9436201780415432,0,⚠️ OVERHEATED,IGNORE,0.22422825625448936,CROWDED,0.759919835227159
VSH,0.8836601307189542,0.9673202614379084,0.9477124183006536,1.7862034044803945,0.7712418300653595,0.5915032679738562,0,❌ IGNORE,IGNORE,0.1138179307720477,CROWDED,0.7592341743897036
DXYZ,0.8793233082706767,0.9072681704260652,0.9649122807017544,3.123426233997715,0.7744360902255639,0.6917293233082706,0,❌ IGNORE,IGNORE,0.16090063495753812,CROWDED,0.7583455405253423
SMTC,0.9026315789473685,0.8847117794486216,0.9473684210526316,2.5213733877670137,0.9022556390977444,0.8095238095238095,0,⚠️ OVERHEATED,IGNORE,0.1482949769843383,CROWDED,0.7571276670760657
HPQ,0.8359649122807017,0.9824561403508772,0.9448621553884712,2.5194191772913106,0.6842105263157895,0.2456140350877192,1,❌ IGNORE,IGNORE,0.17680888690664315,CROWDED,0.755211401441479
HPQ,0.8372549019607842,0.9836601307189542,0.9509803921568628,1.8329767287301548,0.6633986928104575,0.2745098039215686,1,❌ IGNORE,IGNORE,0.16261996950774993,CROWDED,0.7543540592610272
HPQ,0.8393175074183976,0.9881305637982196,0.9436201780415432,2.160872589612376,0.6795252225519288,0.2729970326409495,1,❌ IGNORE,IGNORE,0.1605911393953775,CROWDED,0.7541953792143872
VSH,0.887240356083086,0.9643916913946587,0.9465875370919882,2.256315188575188,0.7804154302670623,0.6231454005934718,0,❌ IGNORE,IGNORE,0.07401572686467142,CROWDED,0.751895133503498
CVCO,0.83734335839599,0.6165413533834586,0.93734335839599,2.264371037704371,0.9699248120300752,0.9949874686716792,3,👀 WATCH,WATCH,0.5299464826047133,INTERESTING,0.7517035822352284
DXYZ,0.8604575163398692,0.8790849673202614,0.977124183006536,2.514880291663307,0.7287581699346405,0.6503267973856209,1,❌ IGNORE,IGNORE,0.17254154874371344,CROWDED,0.7499331463500498
LNTH,0.9036340852130323,0.9298245614035088,0.9172932330827068,2.018444831760351,0.8596491228070176,0.8521303258145363,0,⚠️ OVERHEATED,IGNORE,0.08302203797095044,CROWDED,0.7474816005766461
SMTC,0.9116013071895424,0.9183006535947712,0.9281045751633988,1.5495783451653629,0.9281045751633988,0.7973856209150327,0,⚠️ OVERHEATED,IGNORE,0.066103184109283,CROWDED,0.7471422054493075
NVTS,0.836053412462908,1.0,0.8902077151335311,1.4501896618729264,0.7626112759643917,0.2195845697329377,1,❌ IGNORE,IGNORE,0.16635067127098588,CROWDED,0.7457330422660667
INTU,0.8293768545994065,0.6409495548961425,0.9614243323442137,2.4809923446432,0.9287833827893176,0.827893175074184,3,❌ IGNORE,IGNORE,0.4602467230304527,INTERESTING,0.7442748638939245
INTU,0.7872549019607844,0.5522875816993464,0.9444444444444444,1.7625526928563,0.9084967320261438,0.8169934640522876,3,❌ IGNORE,IGNORE,0.6469724535857919,INTERESTING,0.7436428567302303
QCOM,0.8924836601307189,0.9607843137254902,0.869281045751634,1.1656181953829563,0.977124183006536,0.565359477124183,0,❌ IGNORE,IGNORE,0.09609156793511592,CROWDED,0.7422248495347357
RDW,0.7947712418300653,0.9738562091503268,0.9215686274509804,1.490668055572219,0.5735294117647058,0.1666666666666666,1,❌ IGNORE,IGNORE,0.22215807928946443,CROWDED,0.7414250799101805
QCOM,0.8989614243323443,0.9614243323442137,0.8753709198813057,1.354491991631867,0.9821958456973294,0.5964391691394659,0,❌ IGNORE,IGNORE,0.07055972468785841,CROWDED,0.7410555651156133
RDW,0.7967359050445104,0.9762611275964392,0.9228486646884272,1.7562382537617955,0.5816023738872403,0.1572700296735905,1,❌ IGNORE,IGNORE,0.2056508866988235,CROWDED,0.7396464978145423
QCOM,0.8922305764411027,0.9598997493734336,0.8546365914786967,1.6829561122718528,0.9849624060150376,0.6015037593984962,0,❌ IGNORE,IGNORE,0.08788355126179705,CROWDED,0.7373762089992266
NVTS,0.8245614035087719,1.0,0.8596491228070176,1.7102282519075054,0.7694235588972431,0.1979949874686716,1,❌ IGNORE,IGNORE,0.17061141597659066,CROWDED,0.7358766691602305
FLNC,0.7527777777777779,0.9248366013071896,0.8104575163398693,0.8852099738454464,0.5392156862745098,0.3758169934640523,1,❌ IGNORE,IGNORE,0.4299381480986875,INTERESTING,0.7341575642602605
EL,0.8911027568922305,0.9649122807017544,0.8872180451127819,1.8266168373631408,0.8847117794486216,0.6591478696741855,0,❌ IGNORE,IGNORE,0.03519636315938846,CROWDED,0.7339064405516772
OUST,0.755718954248366,0.8104575163398693,0.8725490196078431,1.169065805573939,0.5620915032679739,0.5424836601307189,1,❌ IGNORE,IGNORE,0.4709274448794545,INTERESTING,0.7330743778647799
ZM,0.8873433583959899,0.9348370927318296,0.9072681704260652,1.979362472822572,0.8721804511278195,0.681704260651629,0,❌ IGNORE,IGNORE,0.04628299237386396,CROWDED,0.7326149944647478
ASTS,0.8656641604010025,0.9423558897243108,0.8771929824561403,1.7766665697414157,0.899749373433584,0.4887218045112781,0,❌ IGNORE,IGNORE,0.09825683589041888,CROWDED,0.729826805774575
NVTS,0.818954248366013,0.9967320261437908,0.8660130718954249,1.1145053597917929,0.7222222222222222,0.2254901960784313,1,❌ IGNORE,IGNORE,0.14236815600535696,CROWDED,0.7286043501553198
ROST,0.8918546365914787,0.9097744360902256,0.8471177944862155,1.6551103853440412,0.9674185463659148,0.8345864661654135,0,❌ IGNORE,IGNORE,0.09962710306143534,CROWDED,0.7280457213641668
ZM,0.8919881305637981,0.9376854599406528,0.9020771513353116,1.5400489924007528,0.9020771513353116,0.6765578635014837,0,❌ IGNORE,IGNORE,0.015595996029903966,CROWDED,0.727866973686693
UI,0.759640522875817,0.5098039215686274,0.8202614379084967,0.904277586699739,0.9705882352941176,1.0,3,👀 WATCH,WATCH,0.7781463077148241,RARE,0.7254985425887165
