symbol,HotScore,MomentumScore,VolumeScore,VolumeSpike,VolatilityScore,TrendScore,cluster,watch_label,final_signal
IMOS,0.7635714285714285,0.8690476190476191,0.6071428571428571,0.9786134999341376,0.7476190476190476,0.9738095238095238,1,👀 WATCH,WATCH
USAR,0.7658333333333333,0.9476190476190476,0.8690476190476191,1.4079897261663836,0.5333333333333333,0.2333333333333333,3,❌ IGNORE,IGNORE
FFIV,0.7661904761904762,0.6738095238095239,0.6880952380952381,1.056367294326961,0.9595238095238096,0.9761904761904762,1,👀 WATCH,WATCH
UAL,0.7766666666666666,0.8071428571428572,0.7404761904761905,1.141369194136126,0.8119047619047619,0.7261904761904762,1,❌ IGNORE,IGNORE
NXST,0.7783333333333333,0.8571428571428571,0.5857142857142857,0.9601481949078666,0.8833333333333333,0.9666666666666668,1,👀 WATCH,WATCH
TSEM,0.7813095238095238,0.7142857142857143,0.75,1.1605587670740722,0.8976190476190476,0.8928571428571429,1,👀 WATCH,WATCH
CRWD,0.7816666666666666,0.7619047619047619,0.7523809523809524,1.1624140554186078,0.911904761904762,0.6928571428571428,1,❌ IGNORE,IGNORE
VNET,0.7817857142857142,0.9642857142857144,0.9761904761904762,2.3472765727500127,0.3833333333333333,0.2595238095238095,3,❌ IGNORE,IGNORE
CIEN,0.7826190476190475,0.7595238095238095,0.669047619047619,1.0333123375985285,0.9571428571428572,0.911904761904762,1,👀 WATCH,WATCH
XXI,0.7927380952380952,0.9833333333333332,0.9333333333333332,1.7421151681421556,0.4214285714285714,0.3761904761904762,3,❌ IGNORE,IGNORE
HCM,0.7945238095238094,0.8523809523809524,0.9095238095238096,1.6447362510668244,0.4238095238095238,0.930952380952381,3,👀 WATCH,WATCH
CPA,0.7958333333333333,0.6476190476190476,0.8976190476190476,1.5208980268196566,0.7904761904761904,0.969047619047619,1,👀 WATCH,WATCH
RKLB,0.7996428571428571,0.9261904761904762,0.8047619047619048,1.2273242348222952,0.7857142857142857,0.3666666666666666,3,❌ IGNORE,IGNORE
MXL,0.8002380952380953,0.8547619047619047,0.7880952380952381,1.2187016307955365,0.7714285714285715,0.7095238095238096,1,❌ IGNORE,IGNORE
SITM,0.8013095238095238,0.6238095238095238,0.8261904761904761,1.290763061553735,0.9738095238095238,0.9904761904761904,1,👀 WATCH,WATCH
ACMR,0.8032142857142857,0.8642857142857143,0.7571428571428571,1.1690063621786582,0.7571428571428571,0.8428571428571429,1,❌ IGNORE,IGNORE
APP,0.8070238095238095,0.9,0.6166666666666667,0.98367616492985,0.9666666666666668,0.8285714285714286,1,❌ IGNORE,IGNORE
PLBL,0.8094047619047617,0.9928571428571428,0.8761904761904762,1.44437448691369,0.4380952380952381,0.6761904761904762,3,❌ IGNORE,IGNORE
MPWR,0.8107142857142858,0.7547619047619047,0.7071428571428572,1.079944394057429,0.9976190476190476,0.9952380952380953,1,👀 WATCH,WATCH
FRHC,0.815595238095238,0.8428571428571429,0.6976190476190476,1.074257912697392,0.8857142857142857,0.9928571428571428,1,👀 WATCH,WATCH
LEU,0.8219047619047619,0.8857142857142857,0.6952380952380952,1.0609897547510352,0.8809523809523809,0.923809523809524,1,👀 WATCH,WATCH
AMRX,0.8298809523809523,0.919047619047619,0.9785714285714284,2.5228312987483994,0.5488095238095239,0.5595238095238095,3,❌ IGNORE,IGNORE
LSCC,0.8301190476190476,0.8261904761904761,0.8285714285714286,1.2929540319658692,0.830952380952381,0.8476190476190476,1,❌ IGNORE,IGNORE
NET,0.835,0.930952380952381,0.6404761904761904,1.0099274622185124,0.9833333333333332,0.8833333333333333,1,👀 WATCH,WATCH
DOCN,0.8371428571428572,0.9714285714285714,0.6523809523809524,1.0145636125002802,0.9476190476190476,0.7928571428571428,1,❌ IGNORE,IGNORE
SNX,0.8394047619047619,0.780952380952381,0.8119047619047619,1.251274196902899,0.930952380952381,0.9571428571428572,1,👀 WATCH,WATCH
AXTI,0.8423809523809522,0.988095238095238,0.7595238095238095,1.1707597442092044,0.8904761904761904,0.5261904761904762,0,❌ IGNORE,IGNORE
INOD,0.8490476190476192,0.8952380952380953,0.8714285714285714,1.4289840587180618,0.75,0.8071428571428572,0,❌ IGNORE,IGNORE
WBD,0.8502380952380952,0.961904761904762,1.0,10.780979340486118,0.6976190476190476,0.2404761904761904,2,❌ IGNORE,IGNORE
FSLY,0.8621428571428571,0.9904761904761904,0.9285714285714286,1.7268332835180455,0.7285714285714285,0.4476190476190476,3,❌ IGNORE,IGNORE
FIVN,0.8655952380952381,0.9857142857142858,0.8738095238095238,1.4433099083635,0.7619047619047619,0.6238095238095238,0,❌ IGNORE,IGNORE
INTC,0.8664285714285713,0.969047619047619,0.9166666666666666,1.696626348911992,0.9285714285714286,0.2071428571428571,0,❌ IGNORE,IGNORE
MRNA,0.8674999999999999,0.9738095238095238,0.7904761904761904,1.2197934796050374,0.961904761904762,0.5761904761904761,0,❌ IGNORE,IGNORE
